Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4WGOuoPOlnjQM5EoBiJyAY","Matilda","Oskar Schuster","Matilda","1","1","179969","spotify:user:transceend","2016-05-05T01:22:32Z"
"spotify:track:4lKJwsEeDsBjyvzDrRa1sg","Metamorphosis: Metamorphosis One","Philip Glass","Metamorphosis","1","1","339733","spotify:user:transceend","2016-05-07T09:47:03Z"
"spotify:track:5feQzS30nJ2RlJ2yvTFDgG","Metamorphosis: Metamorphosis Two","Philip Glass","Metamorphosis","1","2","441400","spotify:user:transceend","2016-05-07T09:47:07Z"
"spotify:track:13xAQWL8yzgsX6IKhjuPdw","Metamorphosis: Metamorphosis Three","Philip Glass","Metamorphosis","1","3","332533","spotify:user:transceend","2016-05-07T09:47:12Z"
"spotify:track:0qXi8WdWaRaTEhR1rbgsuq","Metamorphosis: Metamorphosis Four","Philip Glass","Metamorphosis","1","4","421000","spotify:user:transceend","2016-05-07T09:47:17Z"
"spotify:track:5akQjA2XnCNxsJNYfwlmQ2","Metamorphosis: Metamorphosis Five","Philip Glass","Metamorphosis","1","5","306200","spotify:user:transceend","2016-05-07T09:47:21Z"
"spotify:track:6iLzFJhs4ATwJn7P1utZIJ","Light of the Seven","Ramin Djawadi","Game of Thrones (Music from the HBO® Series - Season 6)","1","3","589094","spotify:user:transceend","2016-09-12T08:02:53Z"
"spotify:track:5hNaPW1EJYszLnI7ShLqnu","Everyday 2.0","Carly Comando","Everyday 2.0","1","1","467765","spotify:user:transceend","2016-11-04T09:48:12Z"
"spotify:track:6dCnHTzlXMQZ5hNWLKrr0b","Everyday","Carly Comando","One Take","1","10","348693","spotify:user:transceend","2016-11-04T09:49:46Z"
"spotify:track:647TIslyG1UVO7Vwd3t88O","Fairy Princess","Carly Comando","One Take","1","3","160866","spotify:user:transceend","2016-11-04T09:54:17Z"
"spotify:track:0PrAozo6AwJ0Ftatr3CfJt","Comptine d'un autre été, l'après-midi","Yann Tiersen","Amelie from Montmartre (Original SoundTrack)","1","4","140733","spotify:user:transceend","2017-02-26T22:17:19Z"
