Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6t6oULCRS6hnI7rm0h5gwl","Some Nights","fun.","Some Nights (Spotify Exclusive)","1","2","277040","spotify:user:transceend","2016-11-13T17:06:15Z"
"spotify:track:6BnONjR7itGMEqwxKTIlRM","Safe And Sound","Capital Cities","In A Tidal Wave Of Mystery (Deluxe Edition)","1","1","192789","spotify:user:transceend","2016-11-14T22:31:36Z"
"spotify:track:0sooJd5WbNnnz5k6yO7FIQ","Pompeii","Bastille","All This Bad Blood","1","1","214147","spotify:user:transceend","2016-11-14T22:31:39Z"
"spotify:track:1i5Q0S1MLBNUBTfV7nnBSA","Ho Hey","The Lumineers","The Lumineers","1","5","163133","spotify:user:transceend","2016-11-14T22:32:02Z"
"spotify:track:5xZjfKSfTooDP2rcAgjxlH","Carry On","fun.","Some Nights","1","4","278373","spotify:user:transceend","2016-11-14T22:32:17Z"
"spotify:track:3SPVZJzf1Hs30rB6yXVf2y","Mountain Sound","Of Monsters and Men","My Head Is An Animal","1","3","211453","spotify:user:transceend","2016-11-14T22:32:24Z"
"spotify:track:20uBdCmVtlUuYsvxysoito","Little Lion Man","Mumford & Sons","Sigh No More","1","7","247000","spotify:user:transceend","2016-11-14T22:32:30Z"
"spotify:track:44AL9Xok81qGEOZdPQpUnM","Bang Bang Bang","Mark Ronson, The Business Intl","Record Collection","1","1","233626","spotify:user:transceend","2016-11-14T22:32:57Z"
"spotify:track:1Qq8UpovvHMOdgDBSERsAH","Heads Will Roll","Yeah Yeah Yeahs","It's Blitz!","1","2","221000","spotify:user:transceend","2016-11-14T22:33:45Z"
"spotify:track:1SLxVWqXo9zNrrDKRa3m1G","Viva La Vida","Coldplay","Viva La Vida Or Death And All His Friends","1","7","242373","spotify:user:transceend","2016-11-14T22:46:06Z"
"spotify:track:3n3Ppam7vgaVa1iaRUc9Lp","Mr. Brightside","The Killers","Hot Fuss (Deluxe Version)","1","2","222200","spotify:user:transceend","2016-11-14T22:46:49Z"
"spotify:track:3twNvmDtFQtAd5gMKedhLD","Somebody Told Me","The Killers","Hot Fuss (Deluxe Version)","1","4","197280","spotify:user:transceend","2016-11-14T22:47:32Z"
"spotify:track:6nz3JfXIPZ3alcqUIjq5hK","Breakeven","The Script","The Script","1","5","261426","spotify:user:transceend","2016-11-14T22:47:37Z"
"spotify:track:7aliOjqVEBd3ZZ8NMkuifd","Shake It Out","Florence + The Machine","Ceremonials","1","2","277637","spotify:user:transceend","2016-11-14T22:47:49Z"
"spotify:track:3m6KkYKdnbffMpGd9Pm9FP","Seven Nation Army","The White Stripes","Elephant","1","1","231920","spotify:user:transceend","2016-11-14T22:48:02Z"
