Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5PycBIeabfvX3n9ILG7Vrv","Propuesta Indecente","Romeo Santos","Fórmula, Vol. 2 (Deluxe Edition)","1","13","235133","spotify:user:transceend","2016-08-21T22:20:21Z"
"spotify:track:2XYkvc4UWMO9U2iQcIjJe7","Te Extraño - Bachata Version","Xtreme","Bandidos De La Bachata","1","10","213973","spotify:user:transceend","2016-08-22T02:32:37Z"
"spotify:track:4g7kMamY3agiOoRtqHutYP","Stand by Me","Prince Royce","Prince Royce","1","1","205266","spotify:user:transceend","2016-08-22T02:32:44Z"
"spotify:track:7a6htfBLgGUd4e36u2ISrx","Corazón Sin Cara","Prince Royce","Prince Royce","1","2","212760","spotify:user:transceend","2016-08-22T02:32:51Z"
"spotify:track:5ZDqVAmp8GewBRaf8cIySq","Mi Última Carta","Prince Royce","Prince Royce","1","7","246026","spotify:user:transceend","2016-08-22T02:33:27Z"
"spotify:track:6zDuQ9HuAE1sGn67KMrM44","Te Quedas Te Vas - Extended","Mojito Project, Romy","Te Quedas Te Vas","1","1","270288","spotify:user:transceend","2016-08-22T02:33:51Z"
"spotify:track:1HyeXXwIDOUi71n5tbm1Ds","Unchained Melody","OG Bachata","OG Bachata","1","1","219158","spotify:user:transceend","2016-08-22T02:35:22Z"
"spotify:track:1Q8NiatGDc6YgefNwT7Jgu","Te Perdiste Mi Amor","Thalía, Prince Royce","Habítame Siempre (Bonus Tracks Version)","1","4","220066","spotify:user:transceend","2016-08-22T02:35:30Z"
"spotify:track:5A9AILetvfQg3LHyX5X0pV","Yo También","Romeo Santos, Marc Anthony","Fórmula, Vol. 2 (Deluxe Edition)","1","9","306453","spotify:user:transceend","2016-08-22T02:36:38Z"
"spotify:track:6cJLfIqwh0tCKRjYM3WpZ5","Darte un Beso","Prince Royce","Soy el Mismo","1","3","206933","spotify:user:transceend","2016-08-22T02:36:48Z"
"spotify:track:6gDRlcMI1EwFAwlZiO80m3","Mi Ultima Carta","Prince Royce","Prince Royce","1","9","244671","spotify:user:transceend","2016-08-22T02:38:41Z"
"spotify:track:4IF9AYZgiSDf64y5XGox2C","Eres Tú","Prince Royce","Phase II","1","5","195106","spotify:user:transceend","2016-08-22T02:39:15Z"
"spotify:track:1iLv1ieT9BZ3qsti9yTCnG","Odio","Romeo Santos, Drake","Fórmula, Vol. 2 (Deluxe Edition)","1","7","225000","spotify:user:transceend","2016-08-26T00:21:50Z"
"spotify:track:6I86RF3odBlcuZA9Vfjzeq","Eres Mía","Romeo Santos","Fórmula, Vol. 2 (Deluxe Edition)","1","6","250640","spotify:user:transceend","2016-08-26T00:40:02Z"
"spotify:track:0jr6tT2vc4cIFPHb6wufG3","Promise","Romeo Santos, Usher","Fórmula Vol. 1 (Deluxe Edition)","1","6","252253","spotify:user:transceend","2016-08-26T00:54:07Z"
