Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5wQnmLuC1W7ATsArWACrgW","Welcome to the Black Parade","My Chemical Romance","The Black Parade","1","5","311106","spotify:user:transceend","2016-10-29T04:01:10Z"
"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","In The End","Linkin Park","Hybrid Theory (Bonus Track Version)","1","8","216933","spotify:user:transceend","2016-10-29T03:31:51Z"
"spotify:track:57BrRMwf9LrcmuOsyGilwr","Crawling","Linkin Park","Hybrid Theory (Bonus Track Version)","1","5","208960","spotify:user:transceend","2016-10-29T03:34:20Z"
"spotify:track:3dxiWIBVJRlqh9xk144rf4","Breaking The Habit","Linkin Park","Meteora (Bonus Track Version)","1","9","196906","spotify:user:transceend","2016-10-29T03:34:46Z"
"spotify:track:1y1sChqjzdNWzwdHQADMrR","Numb","Linkin Park","Meteora (Bonus Track Version)","1","13","185586","spotify:user:transceend","2016-10-29T03:35:02Z"
"spotify:track:6L89mwZXSOwYl76YXfX13s","Basket Case","Green Day","Dookie","1","7","181533","spotify:user:transceend","2016-10-29T03:37:23Z"
"spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz","When I Come Around","Green Day","Dookie","1","10","178000","spotify:user:transceend","2016-10-29T03:38:08Z"
"spotify:track:7yCPwWs66K8Ba5lFuU2bcx","All The Small Things","blink-182","Enema Of The State","1","8","168000","spotify:user:transceend","2016-10-29T03:45:53Z"
"spotify:track:5BmagRD7Thki6O1zZwbxBy","The Boys of Summer","The Ataris","So Long, Astoria","1","10","258000","spotify:user:transceend","2016-10-29T03:49:55Z"
"spotify:track:1hWrl3T1kIH5b9zRHLfCOn","What's My Age Again?","blink-182","Enema Of The State","1","5","148573","spotify:user:transceend","2016-10-29T03:51:21Z"
"spotify:track:0dRdb2IIRJil2IW0Q9rYZC","I Miss You","blink-182","blink-182","1","3","227250","spotify:user:transceend","2016-10-29T03:52:07Z"
"spotify:track:5ZdzNVOmCSp5HFLk0EgvJS","Dirty Little Secret","The All-American Rejects","Move Along (International Version)","1","1","193653","spotify:user:transceend","2016-10-29T03:53:02Z"
"spotify:track:4QIAVbGpeb5RdAGW66kY2h","Dance, Dance","Fall Out Boy","From Under The Cork Tree","1","3","180266","spotify:user:transceend","2016-10-29T03:53:18Z"
"spotify:track:5kD9T7GForh8LnRz5ClbL8","The Middle","Jimmy Eat World","Bleed American (Deluxe Edition)","1","3","168253","spotify:user:transceend","2016-10-29T04:00:01Z"
"spotify:track:1a9YW7fATU351ok4zWjU7a","Brick By Boring Brick","Paramore","brand new eyes","1","4","253946","spotify:user:transceend","2016-10-29T04:05:55Z"
"spotify:track:1wYJnu1hMrYMNrkXKTVrYd","Gives You Hell","The All-American Rejects","When The World Comes Down","1","4","213106","spotify:user:transceend","2016-10-29T04:06:32Z"
"spotify:track:20X9OeC606XNwEtDBOym5u","Love Drunk","Boys Like Girls","Love Drunk","1","2","226706","spotify:user:transceend","2016-10-29T04:09:16Z"
"spotify:track:4zjFqN9fXAw91GNgJOCYX6","Sugar, We're Goin Down","Fall Out Boy","From Under The Cork Tree","1","4","229093","spotify:user:transceend","2016-10-29T04:10:45Z"
"spotify:track:0BRHnOFm6sjxN1i9LJrUDu","The Anthem","Good Charlotte","The Young and The Hopeless","1","2","175093","spotify:user:transceend","2016-10-29T04:11:59Z"
"spotify:track:2g2a5kDeZexbUTD8abcvm6","Lifestyles of the Rich & Famous","Good Charlotte","The Young and The Hopeless","1","3","190173","spotify:user:transceend","2016-10-29T04:12:09Z"
"spotify:track:2wcDfk3TfQg3Jv8gEoTim7","I Just Wanna Live","Good Charlotte","Greatest Hits","1","10","165946","spotify:user:transceend","2016-10-29T04:12:27Z"
"spotify:track:6BLLQndvA0rLbLcIZmuuEJ","I Don't Wanna Be In Love (Dance Floor Anthem)","Good Charlotte","Good Morning Revival","1","4","244000","spotify:user:transceend","2016-10-29T04:12:45Z"
"spotify:track:36bOT34EdRNrNhCWMwNJKu","Just A Girl","No Doubt","Tragic Kingdom","1","3","208400","spotify:user:transceend","2016-10-29T04:16:58Z"
"spotify:track:18GC3F8YPGB8CePXcTUizQ","Thnks fr th Mmrs","Fall Out Boy","Infinity On High (Deluxe Edition)","1","7","203506","spotify:user:transceend","2016-10-29T03:55:31Z"
"spotify:track:2GD8Ia7rtJzfgTIy20TaRI","This Ain't A Scene, It's An Arms Race","Fall Out Boy","Infinity On High (Deluxe Edition)","1","3","212040","spotify:user:transceend","2016-10-29T03:56:46Z"
"spotify:track:7j31rVgGX9Q2blT92VBEA0","Teenagers","My Chemical Romance","The Black Parade","1","11","161920","spotify:user:transceend","2016-10-29T04:01:42Z"
"spotify:track:3l9CW99AHtExIRV4hW2N5m","Misery Business","Paramore","RIOT!","1","4","211520","spotify:user:transceend","2016-11-10T08:15:33Z"
"spotify:track:4sjLcE0GQ6urc4iUXsUPe9","Kings and Queens","Thirty Seconds To Mars","This Is War","1","3","347666","spotify:user:transceend","2016-11-19T09:16:36Z"
"spotify:track:3twNvmDtFQtAd5gMKedhLD","Somebody Told Me","The Killers","Hot Fuss (Deluxe Version)","1","4","197280","spotify:user:transceend","2018-01-28T23:59:34Z"
"spotify:track:20X9OeC606XNwEtDBOym5u","Love Drunk","Boys Like Girls","Love Drunk","1","2","226706","spotify:user:transceend","2018-01-28T23:59:55Z"
"spotify:track:5SEPHn2kcrgsi1ilpPS9s3","In The Shadows - Radio Edit","The Rasmus","Dead Letters","1","2","246735","spotify:user:transceend","2018-01-29T00:06:33Z"
"spotify:track:1a9YW7fATU351ok4zWjU7a","Brick By Boring Brick","Paramore","brand new eyes","1","4","253946","spotify:user:transceend","2018-01-29T00:07:22Z"
"spotify:track:3l9CW99AHtExIRV4hW2N5m","Misery Business","Paramore","RIOT!","1","4","211520","spotify:user:transceend","2018-01-29T00:07:38Z"
"spotify:track:4z21jCYxdhnEfvgqGSKByQ","Kings and Queens","Thirty Seconds To Mars","This Is War","1","3","347666","spotify:user:transceend","2018-01-29T00:09:58Z"
"spotify:track:6rFKHZniKTOhcYnw5T55Bw","I Miss You","blink-182","Greatest Hits [International Version (Explicit)]","1","13","226905","spotify:user:transceend","2018-01-29T00:10:24Z"
"spotify:track:5wQnmLuC1W7ATsArWACrgW","Welcome to the Black Parade","My Chemical Romance","The Black Parade","1","5","311106","spotify:user:transceend","2018-01-29T00:10:44Z"
"spotify:track:4948g5UqwZFLGI8UTOXqdi","I Write Sins Not Tragedies","Panic! At The Disco","A Fever You Can't Sweat Out (International Release)","1","10","185586","spotify:user:transceend","2018-01-29T00:11:08Z"
