Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0DSu7U79KoQBcRphgWzjQv","Ernie","Fat Freddy's Drop","Based On a True Story","1","1","437266","spotify:user:transceend","2018-07-05T14:07:40Z"
"spotify:track:2FVc8TjYMfBuv24VroSDtP","Cay's Crays","Fat Freddy's Drop","Based On a True Story","1","2","427146","spotify:user:transceend","2018-07-05T14:07:47Z"
"spotify:track:7g72xN7Zs0t0oiLqdBSFnp","This Room","Fat Freddy's Drop","Based On a True Story","1","3","300533","spotify:user:transceend","2018-07-05T14:08:06Z"
"spotify:track:1mpKb3iSDfdp7YCGtPEMzO","Ray Ray","Fat Freddy's Drop","Based On a True Story","1","4","458573","spotify:user:transceend","2018-07-05T14:28:00Z"
"spotify:track:4zgUhC5mo2sN9XYvXxuUuT","Dark Days","Fat Freddy's Drop","Based On a True Story","1","5","400400","spotify:user:transceend","2018-07-05T14:28:09Z"
"spotify:track:17CRm5ReD53wGs05Rgwjl7","Flashback","Fat Freddy's Drop","Based On a True Story","1","6","390533","spotify:user:transceend","2018-07-05T14:28:14Z"
"spotify:track:6yNfbazUfOIJanbPZRGAwB","Roady","Fat Freddy's Drop","Based On a True Story","1","7","430680","spotify:user:transceend","2018-07-05T14:28:20Z"
"spotify:track:44gC8utVGKxQ3dNbuqMGMH","Wandering Eye","Fat Freddy's Drop","Based On a True Story","1","8","589640","spotify:user:transceend","2018-07-05T14:28:26Z"
"spotify:track:0G6XgH8ZZCAK8PdfPmCIE7","Del Fuego","Fat Freddy's Drop","Based On a True Story","1","9","324786","spotify:user:transceend","2018-07-05T14:28:31Z"
"spotify:track:1MGGBm2ZM9OVlwnlMEjKai","Hope","Fat Freddy's Drop","Based On a True Story","1","10","439133","spotify:user:transceend","2018-07-05T14:28:37Z"
"spotify:track:72aZet6VDtWYd2wL3PgCr6","Blackbird","Fat Freddy's Drop","Blackbird","1","1","567458","spotify:user:transceend","2018-07-05T15:23:26Z"
"spotify:track:27rds0NpRv4obZNvnQ4Cri","Russia","Fat Freddy's Drop","Blackbird","1","2","331367","spotify:user:transceend","2018-07-05T15:34:40Z"
"spotify:track:0nNxFQDvrQdYZhqSpEwzlY","Clean the House","Fat Freddy's Drop","Blackbird","1","3","254111","spotify:user:transceend","2018-07-05T15:38:15Z"
