Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1sgyYCbGhkX3auLHCQ825G","Strobe","deadmau5","For Lack Of A Better Name","1","10","634466","spotify:user:transceend","2018-04-17T14:14:15Z"
"spotify:track:6D5pfooPP6hi99RaXjkDsP","Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix","Lana Del Rey, Cedric Gervais","Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix)","1","1","214912","spotify:user:transceend","2016-11-16T02:28:41Z"
"spotify:track:24LS4lQShWyixJ0ZrJXfJ5","Sweet Nothing","Calvin Harris, Florence Welch","18 Months","1","10","212560","spotify:user:transceend","2016-11-16T02:29:58Z"
"spotify:track:0VGrgE7GbWaINRnh1bR4k9","Clarity","Zedd, Foxes","Clarity","1","5","271426","spotify:user:transceend","2016-11-16T02:40:55Z"
"spotify:track:3Zi0l54Z62jWmaiWUQgo9w","Prayer In C - Robin Schulz Radio Edit","Lilly Wood and The Prick, Robin Schulz","Prayer","1","1","189399","spotify:user:transceend","2016-11-16T02:41:29Z"
"spotify:track:0tICYNayWWhH9GPeFrfjfD","This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners","Kungs, Cookin' On 3 Burners","Layers","1","2","195546","spotify:user:transceend","2016-12-15T19:52:57Z"
"spotify:track:6YUTL4dYpB9xZO5qExPf05","Summer","Calvin Harris","Motion","1","8","222533","spotify:user:transceend","2018-04-25T19:51:52Z"
"spotify:track:015IsLQFXbEm0f541N2qoX","Red Lights","Tiësto","A Town Called Paradise","1","1","262200","spotify:user:transceend","2018-04-25T19:51:54Z"
"spotify:track:46lFttIf5hnUZMGvjK0Wxo","Runaway (U & I)","Galantis","Pharmacy","1","4","227073","spotify:user:transceend","2018-04-25T19:51:59Z"
"spotify:track:1I8tHoNBFTuoJAlh4hfVVE","Firestone","Kygo, Conrad Sewell","Cloud Nine","1","5","273684","spotify:user:transceend","2018-04-25T19:52:04Z"
"spotify:track:3ScJy88F8KqGDfWu8XJhHx","If I Lose Myself - Alesso vs OneRepublic","OneRepublic, Alesso","Native","1","19","215186","spotify:user:transceend","2018-04-25T19:52:11Z"
"spotify:track:6g1NlCpW7fgqDnWbCCDrHl","Wake Me Up - Radio Edit","Avicii","True","1","1","247426","spotify:user:transceend","2018-04-25T19:52:13Z"
"spotify:track:6WQLkih8nE0JdUCEyLaGnQ","Heroes (we could be)","Alesso, Tove Lo","Forever","1","3","210012","spotify:user:transceend","2018-04-25T19:52:16Z"
"spotify:track:65hRZOQkVjmBdusz1N7aOv","Save The World","Swedish House Mafia","Save The World","1","1","213337","spotify:user:transceend","2018-04-25T19:52:19Z"
"spotify:track:4zLBcDtvYNVtF9fnG6lme3","Sun Goes Down (feat. Jasmine Thompson) - Radio Mix","Robin Schulz, Jasmine Thompson","Prayer","1","3","179960","spotify:user:transceend","2018-04-25T19:52:25Z"
"spotify:track:2bE6bIHyp8CJ5BosfRJxPo","Spectrum (Say My Name) - Calvin Harris Remix","Florence + The Machine, Calvin Harris","Ceremonials","1","13","218190","spotify:user:transceend","2018-04-25T19:52:29Z"
"spotify:track:4J7CKHCF3mdL4diUsmW8lq","Under Control","Calvin Harris, Alesso, Hurts","Motion","1","2","184280","spotify:user:transceend","2018-04-25T19:52:33Z"
"spotify:track:1nO67wic65N413c11zKxM7","Silhouettes - Original Radio Edit","Avicii","Silhouettes","1","1","211880","spotify:user:transceend","2018-04-25T19:52:35Z"
"spotify:track:7q3aKYrhCbTnxdRZ6xmkC6","Some Chords","deadmau5","4x4=12","1","2","444140","spotify:user:transceend","2018-04-25T19:52:45Z"
"spotify:track:6qVXkG01rBYGfxIndGOQ3z","Shot me Down (feat. Skylar Grey) - Radio Edit","David Guetta, Skylar Grey","Listen","1","17","191412","spotify:user:transceend","2018-04-25T19:52:49Z"
"spotify:track:15ya59dZ8yGeIfZARiYDjd","Dog Days Are Over","Florence + The Machine","Lungs (International Version)","1","1","252853","spotify:user:transceend","2018-04-25T20:57:01Z"
"spotify:track:4ua0IepBEISCWwF8dTJvcU","Ghosts 'n' Stuff - feat. Rob Swire","deadmau5","For Lack Of A Better Name","1","3","328253","spotify:user:transceend","2018-04-25T22:02:47Z"
"spotify:track:1vQ92830bxiBcIhpUj4qrn","The Veldt - Radio Edit","deadmau5","The Veldt","1","1","170059","spotify:user:transceend","2018-04-25T22:35:52Z"
"spotify:track:7L59vVTpoS94JU3KEeolqt","Take Me Home (feat. Bebe Rexha)","Cash Cash, Bebe Rexha","Blood, Sweat & 3 Years","1","14","206320","spotify:user:transceend","2018-04-26T13:39:47Z"
"spotify:track:44AL9Xok81qGEOZdPQpUnM","Bang Bang Bang","Mark Ronson, The Business Intl","Record Collection","1","1","233626","spotify:user:transceend","2018-04-27T14:54:49Z"
"spotify:track:0VGrgE7GbWaINRnh1bR4k9","Clarity","Zedd, Foxes","Clarity","1","5","271426","spotify:user:transceend","2018-04-27T14:55:08Z"
"spotify:track:6GyFP1nfCDB8lbD2bG0Hq9","Midnight City","M83","Hurry up, We're Dreaming","1","2","243960","spotify:user:transceend","2018-04-27T14:55:19Z"
"spotify:track:24LS4lQShWyixJ0ZrJXfJ5","Sweet Nothing","Calvin Harris, Florence Welch","18 Months","1","10","212560","spotify:user:transceend","2018-05-03T14:21:54Z"
