Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2aAyDqzwEeVIigSMFM1tNS","Tequila - R3HAB Remix","Dan + Shay, R3HAB","Tequila (R3HAB Remix)","1","1","157424","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:00AYILgnKiTPh2v0WLTbpx","DaNcing in a RoOm - DJ KUE Remix","EZI, DJ Kue","DaNcing in a RoOm (DJ KUE Remix)","1","1","245860","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:5DVVw9e4D656vURT3pfnjg","No Place","RÜFÜS DU SOL","No Place","1","1","238008","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:6xK3cZIVTZYZ5PiMsAc10o","Finest Hour (feat. Abir) - Michael Calfan Remix","Cash Cash, Abir, Michael Calfan","Finest Hour (feat. Abir) [Michael Calfan Remix]","1","1","187131","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:6po0MzJTuLfaVLGKQUthGw","Please Stay (feat. London Thor)","tyDi, Kundo, London Thor","Please Stay (feat. London Thor)","1","1","218000","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:1D8883ZcorW3B2x8HDnrb4","Chateau - ARTY Remix","Angus & Julia Stone, ARTY","Chateau (ARTY Remix)","1","1","227244","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:1VTvqPZc50yS6MiWw520Kh","Another Chance (Don Diablo Edit)","Big Pineapple, Don Diablo","Another Chance (Don Diablo Edit)","1","1","172380","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:7rIAowWipJIt8QVVnNdtLg","Saturday Sun - Ryan Riback Remix","Vance Joy, Ryan Riback","Saturday Sun (Ryan Riback Remix)","1","1","187600","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:0K6hqdIkeTZRKOyfhJ4kPK","All The Time (feat. Cami)","Kevin Ocean, MSP, Cami","All The Time (feat. Cami)","1","1","200689","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2SutWozKjO4T9iwWknJAqU","Me, Myself & I (feat. Bryn Christopher)","Blonde, Bryn Christopher","Me, Myself & I (feat. Bryn Christopher)","1","1","181052","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:47IUL5vAQ3VPCHVQlcuXsK","At Night - Peggy Gou's Acid Journey Remix","Shakedown","At Night (Remixes)","1","1","217761","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:6WK7h2WfMmnX7zOZnfzoYo","I Like It - Dillon Francis Remix","Cardi B, Bad Bunny, J Balvin, Dillon Francis","I Like It","1","1","219200","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:7IZ7S595rr4Q3E1Zga1Jev","Only You","Cheat Codes, Little Mix","Only You","1","1","189401","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:50Lf1pAMJqgnERsUK1hzG6","Sleepwalking","Elderbrook","Sleepwalking","1","1","185505","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:656R68qN5ivtFdrJhcUyGA","Deep Down Below","Andreas Moss, Yachtmoney","Deep Down Below (feat. Yacht Money)","1","1","216851","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:0G2HNubDqzaNP12wcGD9en","Shades","The Knocks","Shades","1","1","230173","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:3DGar7krWlmrXRFHBcQF6z","Whenever (feat. Conor Maynard)","Kris Kross Amsterdam, The Boy Next Door, Conor Maynard","Whenever (feat. Conor Maynard)","1","1","163636","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:5EHVz4AZDoQwf2zX3kXE6o","Missing You","CAZZETTE, Parson James","Missing You","1","1","188076","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:6pB6fINEFGx8hTBQtJd8zZ","LaLaLove","Mono Mind","LaLaLove","1","1","204406","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:4JzczPWDaampymdkrjrPL0","Finally","ALICE FRANCE, Gawler","Finally","1","1","218181","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2W7dMGZTUTWrVwtFMlTu1H","Messy - Feenixpawl Remix","Kiiara, Feenixpawl","Messy (Feenixpawl Remix)","1","1","178032","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:6kPJZM97LwdG9QIsT7khp6","Solo (feat. Demi Lovato)","Clean Bandit, Demi Lovato","Solo (feat. Demi Lovato)","1","1","222653","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:5eeWYGsvtFUVhevc00GsIB","Where's My Love - Sam Feldt Edit","SYML, Sam Feldt","Where's My Love (Sam Feldt Edit)","1","1","209519","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:1qkQz3zogqAdHjs15Nkz24","Deep End","KREAM","Deep End","1","1","189860","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2MYRU51rPa1QpukXT2lR7C","Spread Love (Paddington) [feat. DVNO]","Boston Bun, DVNO","Spread Love (Paddington) [feat. DVNO]","1","1","192731","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:6FluOWqqqg99zqIinlUHyZ","Girls (feat. Cardi B, Bebe Rexha & Charli XCX) - Steve Aoki Remix","Rita Ora, Bebe Rexha, Cardi B, Charli XCX, Steve Aoki","Girls (feat. Cardi B, Bebe Rexha & Charli XCX) [Steve Aoki Remix]","1","1","225600","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2xw9PXlt8IaCWZjfpJ2HPL","Oh Child","Robin Schulz, Piso 21","Oh Child","1","1","195261","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2HuSaKSnkvSaRQviRm1glh","Ride Or Die (feat. Foster The People) - Vicetone Remix","The Knocks, Foster The People, Vicetone","Ride Or Die (feat. Foster The People) [Vicetone Remix]","1","1","195789","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:0tgbSxoFjZ20MjfoKwWevV","Your Love","David Guetta, Showtek","Your Love","1","1","185620","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:33lM5gS4ec2CiRMOcIpV71","Set You Free","Stephen Murphy","Set You Free","1","1","167328","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2M1mqcNUBIAfRoD2Puhejf","Carry Me Home (feat. Jake Reese)","KSHMR, Jake Reese","Carry Me Home (feat. Jake Reese)","1","1","191250","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:1wIwGUO8UIwO5cj545sCso","Save Me","Jay Hardway, Mesto","Save Me","1","1","154233","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:7Cap2DKtDKo0u54IQebUaE","Golden","Kylie Minogue","Golden","1","3","187973","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:3MqV9Ss6QyZ79lJ6cdMiiE","Give It Up","Mike Williams","Give It Up","1","1","171914","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:50VGHY4PXTuOYDBYsGhtla","Don't Want No...","Brooke Evers, Dominique Young Unique","Don't Want No...","1","1","160250","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:4xJfsv6gvC41Arv9sD0DQ3","Must've Been (feat. DRAM) - CID Remix","Chromeo, DRAM, CID","Must've Been (feat. DRAM) [CID Remix]","1","1","171870","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:5xABeOAK58A97f7xurrU4c","I Could Be Wrong","Lucas & Steve, Brandy","I Could Be Wrong","1","1","177273","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:7ef4DlsgrMEH11cDZd32M6","One Kiss (with Dua Lipa)","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","1","1","214846","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:6jd4JC131aifJWQ8mRUZaj","Casually (feat. Maria Z)","Alyx Ander, Redondo, Maria Z","Casually (feat. Maria Z)","1","1","196686","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:1HagMz5nWk1HmevNCBOxF3","Answerphone (feat. Yxng Bane)","Banx & Ranx, Ella Eyre, Yxng Bane","Answerphone (feat. Yxng Bane)","1","1","190920","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2Buieq5kZfpkXViGbaPtzm","Sweet & Bitter","Kush Kush","Sweet & Bitter","1","1","181270","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:5k8fP6CGMhvyuBNcT5NmSq","Atheist","Disciples","Atheist","1","1","241862","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:0h9xxCoXw2LkdJG9pR79RN","Neutron Dance - Edit","Krystal Klear","Neutron Dance (Edit)","1","1","171613","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:72qlZsoVPpyFxVjL6GUuYI","As I Sleep (feat. Charlee)","Tobtok, Adrian Lux, Charlee","As I Sleep (feat. Charlee)","1","1","193471","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:512JyhHrndIxZ81JmYZLmP","Flames - Tepr Remix","David Guetta, Sia, Tepr","Flames","1","2","232983","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:0BWtvJOb14q319YPkbm5Hg","The Factory","Carta","The Factory","1","1","175714","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2mr020Spkb6Jw2Vt9JP1dm","From The Soul","Redondo","From The Soul","1","1","152903","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:13OsCMM62x7kJZDqjF0fay","Down (feat. The Ready Set)","Streex, The Ready Set","Down (feat. The Ready Set)","1","1","218000","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2aOlxywgl4nCD4Xh2mLWM7","Spaceship (feat. Uffie)","Galantis, Uffie","Spaceship (feat. Uffie)","1","1","167079","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:4MhhdejiWacUZMiFHUkEf6","Fade","Boye & Sigvardt","Fade","1","1","201642","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:6K5IoreTQiyCcGQTZ0nVEk","Pieces (feat. 5 West) [Sebastian Perez Radio Remix]","Keelie Walker, 5 West, Sebastian Perez","Pieces (feat. 5 West) [Remixes]","1","1","179756","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:1CNCmckkTkCoJ8FsuwwL7t","Nevermind (Wankelmut Remix)","Dennis Lloyd, Wankelmut","Nevermind (Wankelmut Remixes)","1","1","181142","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:7uObfbegIGow74NAVBCnRV","Anthem (We Love House Music)","Don Diablo","Anthem (We Love House Music)","1","1","157024","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2ndJBB1FFMtKaCPpSbMadu","Whispers (feat. Avonlea)","Oshi, Avonlea","Whispers (feat. Avonlea)","1","1","221376","spotify:user:topsify","2018-07-06T23:24:55Z"
"spotify:track:2TqufSS0yIHjfNQe5rkpZM","Worship","Golden Features","Worship","1","1","244007","spotify:user:topsify","2018-07-06T23:24:55Z"
