Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6i0XeW4PstexSITqHfm3FH","Warm Sound","Zero 7, Mozez","When It Falls","1","1","330373","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:5KAEaHX2XKOT8hDpVKMg48","New Day","Karnivool","Sound Awake","1","3","500760","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:7AFfA04SMcIUslPS9LPBJ9","Sleepy Tea","Chon","Homey","1","1","185341","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:4MxerEFiKdSWXPiUHVHqgc","Guarumo","Señor Loop","Vikorg","1","1","390266","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:6fOGYN4YLmaA5Yr6GjcDYV","水琴窟-SUIKINKUTSU-","Tokyo Ska Paradise Orchestra, Hiromi","Walkin'","1","11","420400","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:5iIQrjwy4bo3TfRVbgtl1H","Farewell","UNKLE, Ysée, ESKA, Elliott Power, Keaton Henson, Liela Moss, Mink, Dhani Harrison, Steven Young","The Road, Pt. 1","1","2","376529","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:4zBdObrAnn5OVWC9F02wA3","Wanderlust","Logistics","Polyphony","1","13","322758","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:1xjaptI72LJvNF69LzEVaC","Matador","Brontide","Sans Souci","1","1","366341","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:18pIsa1XH5Eap4SBcSH4Xd","Selenium Forest","Plini","Other Things","1","3","365641","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:201ohaBcMqr1k7jzEgBAKh","Loot","Jojo Mayer","The Distance Between Zero And One","1","1","298893","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:47H09jVxrZLalZBv0MnD0R","333","Flea","Helen Burns","1","1","482733","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:0NDbRTOz53xB9d9fZ53SWU","Hell Hath No Fury","Klute","The Emperor's New Clothes","1","9","552200","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:7iEMIiBfQ1BigIaAGujZqn","Saying - Original Mix","Nic Fanciulli, Damon Albarn","My Heart","1","9","257413","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:5nVkaIXaqQtoMX4V1jncdO","Even If - Original Mix","Calibre","Even If","1","2","454252","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:1P5A7TvxPjacdwQhlFtEaO","Something About Us","Balance and the Traveling Sounds","Departure EP","1","4","376240","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:23yi1rRCJqo6KU0rRaFhBM","Mountain Side","Beardyman","Distractions","1","10","430250","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:12TyU7JblI0e8WhMTck8bF","The Music Scene","Blockhead","The Music Scene","1","2","289573","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:2HZEJcDdPUh1umsw4qcY1X","Page One","Lemon Jelly","Lemon Jelly.ky","1","8","552626","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:3MaR719XVQ8oZU0DWmC94r","Dora","beGun","Amma","1","4","285957","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:5tT7hS91RR1Rl5a5l9ibSs","Beep Box","Snarky Puppy","Culcha Vulcha","1","5","241013","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:2Dn42pgcqszQ4QvbPSX8uL","Scribble","Underworld","Barking","1","3","418306","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:2neHuczr50kJhEaBSr9M8Y","Cambio de tonalidad","Da Pawn","El Peón","1","2","232053","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:0MwLOze9j7BFEmdfMeVd2t","Leaning In","Blue States","The Soundings","1","9","281706","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:6i3i8Mm2ul9SdYxPWVnoDp","Football Head","Flamingosis","Pleasure Palette","1","12","224916","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:2sk8qYf3DAY24H07VJrEDm","Time Has Come","Commix","Commix Presents Dusted (Selected Works 2003 - 2008)","1","1","346633","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:4GeGGcyrqcShO6EQZGuPgl","Altered Beast I","King Gizzard & The Lizard Wizard","Murder Of The Universe","1","2","143853","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:2PTKzzQEnS4kEi9QmMNoIk","Space Oddity","The Flaming Lips","Space Oddity","1","1","312985","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:41wY4ZBnVyaK0J3V3nlzwe","Notion - Instrumental","Tash Sultana","Instrumentals","1","3","340500","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:4kas7msUGWdehI8RSe6f8j","Lost In Thought","KOAN Sound","Dynasty EP","1","4","399675","spotify:user:","2018-07-02T05:00:00Z"
"spotify:track:7qYXrz9oT0NOY5k1TMzNg8","Teratology","The Physics House Band","Horizons / Rapture","1","4","385360","spotify:user:","2018-07-02T05:00:00Z"
