Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6dL7YebdUbJKGIbFLmRWvM","Voodoo People (Pendulum Mix)","The Prodigy","Their Law The Singles 1990 - 2005","2","3","307813","spotify:user:transceend","2016-10-29T04:42:08Z"
"spotify:track:7wZtIGsr1acUjLQMPIpM9A","Genesis","Pendulum","Immersion","1","1","69560","spotify:user:transceend","2016-11-12T13:43:43Z"
"spotify:track:4ESOC1Jott4MYNH9cYuF8z","Salt In The Wounds","Pendulum","Immersion","1","2","399280","spotify:user:transceend","2016-11-12T13:44:17Z"
"spotify:track:5ami95W9OOWQPwrBb5tud5","Watercolour","Pendulum","Immersion","1","3","304106","spotify:user:transceend","2016-11-12T13:44:24Z"
"spotify:track:5E1UIRcuHd7Rr7PYbQSEOu","Set Me On Fire","Pendulum","Immersion","1","4","302933","spotify:user:transceend","2016-11-12T13:44:49Z"
"spotify:track:6hzwfFKrTabeUsW5SWti17","Crush","Pendulum","Immersion","1","5","253706","spotify:user:transceend","2016-11-12T13:44:53Z"
"spotify:track:5AhJXm6nrCNDjVphyBUeLH","Under The Waves","Pendulum","Immersion","1","6","295093","spotify:user:transceend","2016-11-12T13:44:58Z"
"spotify:track:75Ik1zcZSvXSVCFHPwQr4E","Immunize (feat. Liam Howlett)","Pendulum, Liam Howlett","Immersion","1","7","276586","spotify:user:transceend","2016-11-12T13:45:02Z"
"spotify:track:1Thv8uCYzyOFC7PME9J936","The Island - Pt. I (Dawn)","Pendulum","Immersion","1","8","320173","spotify:user:transceend","2016-11-12T13:45:07Z"
"spotify:track:26s79pNvksAh8tlEembKm3","The Island - Pt. II (Dusk)","Pendulum","Immersion","1","9","249853","spotify:user:transceend","2016-11-12T13:45:10Z"
"spotify:track:2ZIJUwprFZrAaZCRKYfAno","Comprachicos","Pendulum","Immersion","1","10","168546","spotify:user:transceend","2016-11-12T13:45:14Z"
"spotify:track:3cNsLpqu5TGoGKwM6cyZXB","The Vulture","Pendulum","Immersion","1","11","243293","spotify:user:transceend","2016-11-12T13:45:17Z"
"spotify:track:4Y2glvLjQGOb4dXnwm1hQf","Witchcraft","Pendulum","Immersion","1","12","252786","spotify:user:transceend","2016-11-12T13:45:21Z"
"spotify:track:2lN6G35gsXkA3xzPYqmis5","Self vs Self (feat. In Flames)","Pendulum, In Flames","Immersion","1","13","285706","spotify:user:transceend","2016-11-12T13:45:27Z"
"spotify:track:5blXK1R7GYL7gY2PVGxC90","The Fountain (feat. Steven Wilson)","Pendulum, Steven Wilson","Immersion","1","14","300800","spotify:user:transceend","2016-11-12T13:45:31Z"
"spotify:track:1SgUE0s8KGfJW9JeuN0ns2","Encoder","Pendulum","Immersion","1","15","323400","spotify:user:transceend","2016-11-12T13:45:34Z"
"spotify:track:4ua0IepBEISCWwF8dTJvcU","Ghosts 'n' Stuff - feat. Rob Swire","deadmau5","For Lack Of A Better Name","1","3","328253","spotify:user:transceend","2018-04-17T13:59:17Z"
"spotify:track:4gsV4DN1YbODNeeGYaakol","Prelude","Pendulum","Hold Your Colour","1","1","52466","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:5iafDaZllVA8NXPr7ciK1C","Slam","Pendulum","Hold Your Colour","1","2","344973","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:3F5fn44Fa9HuTvOb2CTEg9","Plasticworld (Ft. Fats & TC)","Pendulum","Hold Your Colour","1","3","381786","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:7IpNuj9NNmfR09pE5nrKE9","Fasten Your Seatbelt (Ft. The Freestylers)","Pendulum","Hold Your Colour","1","4","398213","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:4TjwdrfkKIXQZk4QtLuM1I","Through The Loop","Pendulum","Hold Your Colour","1","5","373840","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:2UibPiVJSyWz3qCHqrzSMo","Sounds Of Life (Ft. Jasmine Yee)","Pendulum","Hold Your Colour","1","6","321600","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:3RB7hfbKipi3rtGCT5IGqq","Girl In The Fire","Pendulum","Hold Your Colour","1","7","293520","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:7ifq3etzDP60X1IRaFVngl","Tarantula - Original Mix","Pendulum, DJ Fresh, $pyda, Tenor Fly","Hold Your Colour","1","8","331240","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:07ekvzDWXVlEAltPY1jwFJ","Out Here","Pendulum","Hold Your Colour","1","9","367106","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:2pZXlPFnqc1uqEKFE7SjwQ","Hold Your Colour","Pendulum","Hold Your Colour","1","10","328480","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:0tNXpm7QwUTMm7lIRPWrEs","The Terminal","Pendulum","Hold Your Colour","1","11","342733","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:1YutVAWwucQytCkaM82PIN","Streamline","Pendulum","Hold Your Colour","1","12","323346","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:3JYcbD7v7VaPVJ1Z0QChZU","Blood Sugar - Original Mix","Pendulum","Hold Your Colour","1","13","315733","spotify:user:transceend","2018-05-08T14:16:45Z"
"spotify:track:6bmbOLEemcdv2hCgpxd6fA","Axel Grinder - Original Mix","Pendulum","Hold Your Colour","1","14","249920","spotify:user:transceend","2018-05-08T14:16:45Z"
