Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:07nH4ifBxUB4lZcsf44Brn","Blame","Calvin Harris, John Newman","Motion","1","3","212960","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6YUTL4dYpB9xZO5qExPf05","Summer","Calvin Harris","Motion","1","8","222533","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:75kMrDKPJJpgEQaXVh7QMB","Pray to God","Calvin Harris, HAIM","Motion","1","11","232226","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:4J7CKHCF3mdL4diUsmW8lq","Under Control","Calvin Harris, Alesso, Hurts","Motion","1","2","184280","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:05SBRd4fXgn8FX7bf8BCAE","I Need Your Love","Calvin Harris, Ellie Goulding","18 Months","1","8","234506","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:24LS4lQShWyixJ0ZrJXfJ5","Sweet Nothing","Calvin Harris, Florence Welch","18 Months","1","10","212560","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:7B1Dl3tXqySkB8OPEwVvSu","We'll Be Coming Back","Calvin Harris, Example","18 Months","1","5","234360","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:4wkQmYpAaMe41Rc3sYZ7Vz","Let's Go","Calvin Harris, Ne-Yo","18 Months","1","13","232800","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:1oHxIPqJyvAYHy0PVrDU98","Drinking from the Bottle","Calvin Harris, Tinie Tempah","18 Months","1","9","240346","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:7MmG8p0F9N3C4AXdK6o6Eb","Outside","Calvin Harris, Ellie Goulding","Motion","1","6","227266","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6Ua9Ylv2V1BXtjAaa3MPDs","Cool","Alesso, Roy English","Cool","1","1","221666","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:34NNeV9jfgNgaALgUr0u9V","Calling (Lose My Mind) - Radio Edit","Sebastian Ingrosso, Alesso, Ryan Tedder","Calling (Lose My Mind)","1","1","205440","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:3ScJy88F8KqGDfWu8XJhHx","If I Lose Myself - Alesso vs OneRepublic","OneRepublic, Alesso","Native","1","19","215186","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:2YBnNbMOUUSkqncnQgkqST","Years - ラジオ・エディット","Alesso, Matthew Koma","Years","1","1","195480","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:73TU1voolT9RHWGLOHyM0J","Titanium (feat. Sia) [Alesso Remix]","David Guetta, Sia, Alesso","Titanium (feat. Sia)","1","1","403809","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:5YHmAO5OSZqyvs0X9O3hEK","City Of Dreams - Radio Edit","Dirty South, Alesso, Ruben Haze","City Of Dreams","1","1","226866","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6YxzDrtjIZUsVLdtsQGlKm","Tear The Roof Up - Extended Version","Alesso","Tear The Roof Up","1","1","404053","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:0VYQK5I08homNvX8SRS37R","Heroes (we could be)","Alesso","Heroes (we could be)","1","1","209866","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:7sR0j3bGUnugz07ZDtqLU7","Delirious (Boneless)","Steve Aoki, Chris Lake, Tujamo, Kid Ink","Delirious (Boneless)","1","1","223413","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6HUeSTt2RaKYIiJrnjzaCd","Ten Feet Tall","Afrojack, Wrabel","Forget The World (Deluxe)","1","1","229149","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:2dBA6iMhxf29tkaHjiQzuq","The Spark","Afrojack, Spree Wilson","Forget The World (Deluxe)","1","5","240893","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:57P9NfczT4i4S3lG25ZuE6","Hourglass","Zedd, LIZ","Clarity","1","1","313026","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:2H9cPwuy0UDDBywTvfCddF","Shave It Up","Zedd","Clarity","1","2","190853","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6ii7kTrjostB8G21X9S6P0","Spectrum","Zedd, Matthew Koma","Clarity","1","3","243413","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:5QwvyvBXQQHuGUHcspmQUB","Lost At Sea","Zedd, Ryan Tedder","Clarity","1","4","225840","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:0VGrgE7GbWaINRnh1bR4k9","Clarity","Zedd, Foxes","Clarity","1","5","271426","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:5FBxUFnY2DjHIKUvAN21cB","Fall Into The Sky","Zedd, Lucky Date, Ellie Goulding","Clarity","1","8","217413","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:4fdLI4w25YHqPbuqUu0TEe","Follow You Down","Zedd, Bright Lights","Clarity","1","9","347280","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:1o4XQ7tYJrDxgEpJufbOI8","Stay The Night - Featuring Hayley Williams Of Paramore","Zedd, Hayley Williams","Clarity (Deluxe)","1","11","217346","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:52NA7TYNvpZNll9cht2o0b","Push Play","Zedd, Miriam Bryant","Clarity (Deluxe)","1","12","219360","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:77sjNI6bTUTKYXCCfy3Qdm","Alive","Empire of the Sun, Zedd","Clarity (Deluxe)","1","13","227240","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:1qx8bj4quT6XuP5P9Eu12Z","I Want You To Know","Zedd, Selena Gomez","I Want You To Know","1","1","238800","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:3ZdViln9Auq1pw1UrUIkV3","Find You - Acoustic - Live In Los Angeles","Zedd, Matthew Koma, Miriam Bryant","Find You (Acoustic - Live In Los Angeles)","1","1","197007","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:3T5qaXJeMAgyEpt2b4mFyK","Find You","Zedd, Matthew Koma, Miriam Bryant","Find You","1","1","204223","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6sZmgTsyiF9ObnEniMISIc","The Legend Of Zelda - Original Mix","Zedd","The Legend Of Zelda","1","1","371000","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:183TNkmZRULvTSFCuBDynD","Stars Come Out","Zedd","Stars Come Out","1","1","263008","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:1Nivqu7wynKsgguBmgC6Vw","Bad (feat. Vassy) - Radio Edit","David Guetta, Showtek, Vassy","Lovers on the Sun EP","1","3","170625","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:1HfPcQ3c2HyGeID3u1lmCa","She Wolf (Falling to Pieces) [feat. Sia]","David Guetta, Sia","Nothing But the Beat 2.0","1","3","222956","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:2QD4C6RRHgRNRAyrfnoeAo","Play Hard (feat. Ne-Yo & Akon)","David Guetta, Ne-Yo, Akon","Nothing But the Beat 2.0","1","6","201000","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:1jvT3CCQpyysWB1JcqZwSi","Just One Last Time (feat. Taped Rai)","David Guetta, Taped Rai","Nothing But the Beat 2.0","1","8","228866","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6eIacmhkE82vZlMDnGS7aP","Bad (feat. Vassy) - Radio Edit","David Guetta, Showtek, VASSY","Listen","1","15","170625","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:2rgtCOVK2tpfao2VjURn84","Lovers on the Sun (feat. Sam Martin)","David Guetta, Sam Martin","Listen","1","4","203520","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:57GYnYCJimvwmt9sAJr0wo","When Love Takes Over (feat. Kelly Rowland)","David Guetta, Kelly Rowland","One More Love","1","1","191000","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:3mQOoBONOh6vnP51eMgWnP","Sexy Bitch (feat. Akon)","David Guetta, Akon","One More Love","1","3","195853","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:5X7V6wJFZT4lbK8FtAZ9Aw","I Gotta Feeling - FMIF Remix; Edit","The Black Eyed Peas","One More Love","1","10","234506","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6Ebd5KnMGpZOvFRNNSP88T","PAYDAY","Alesso","PAYDAY","1","1","198426","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:43iMSSpAQ9fYvKdvjf3ca2","Burial - Skrillex & Trollphace Remix","Yogi, Skrillex, Trollphace","Burial - The Remixes","1","1","208000","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:4zLBcDtvYNVtF9fnG6lme3","Sun Goes Down (feat. Jasmine Thompson) - Radio Mix","Robin Schulz, Jasmine Thompson","Prayer","1","3","179960","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:5sL1SDDTIRBLW0FHrJ2AaQ","Girls in Luv - Radio Mix","DJane HouseKat, Rameez","Girls in Luv","1","1","189341","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:54pZPDx4XspAPn4wipSAkI","Something New","Axwell /\ Ingrosso","Something New","1","1","247640","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:0OFVdGvxShHUdQES84ecmd","Addicted To A Memory","Zedd, Bahari","Addicted To A Memory","1","1","303186","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
"spotify:track:6x0eABrCbvbV15vCljODQo","Sanctuary - Radio Edit","Gareth Emery, Lucy Saunders","Sanctuary","1","3","225708","spotify:user:nathzaslavski","2017-07-21T15:16:25Z"
