Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:43Ei9NSyEjgFYXoKLISyz4","Magnets","Disclosure, Lorde","Caracal (Deluxe)","1","6","199245","spotify:user:transceend","2016-08-31T02:13:40Z"
"spotify:track:4KtrE35pTuqwNc22QP58RT","Drop the Game","Flume, Chet Faker","Lockjaw","1","1","221894","spotify:user:transceend","2016-08-31T02:14:12Z"
"spotify:track:51ODNNDZm21HU7wI7cccRr","Latch","Disclosure, Sam Smith","Settle (Special Edition)","1","3","255631","spotify:user:transceend","2016-08-31T02:14:32Z"
"spotify:track:2Th9BGKvfZG8bKQSACitwG","It's Strange","Louis The Child, K.Flay","It's Strange","1","1","245581","spotify:user:transceend","2016-08-31T02:21:04Z"
"spotify:track:4iZPNYqzI2L0uwuUKun7Aa","Stole the Show","Kygo, Parson James","Stole the Show","1","1","222801","spotify:user:transceend","2016-08-31T02:22:05Z"
"spotify:track:1VhBr0uZpU2kmd3PbDcwnY","My Muse","Dropout","My Muse","1","1","252000","spotify:user:transceend","2016-10-28T06:15:37Z"
"spotify:track:2Cpkxl94ijKgxt3Weisfz0","Here Comes The Night","DJ Snake, Mr Hudson","Encore","1","14","286880","spotify:user:transceend","2016-10-28T10:52:12Z"
"spotify:track:6Bjtr3tPdto5nyuLYf61sN","Cold Water (feat. Justin Bieber & MØ)","Major Lazer, Justin Bieber, MØ","Cold Water (feat. Justin Bieber & MØ)","1","1","185351","spotify:user:transceend","2016-10-29T10:32:37Z"
"spotify:track:1brwdYwjltrJo7WHpIvbYt","Faded","Alan Walker","Faded","1","1","212626","spotify:user:transceend","2016-08-04T20:09:03Z"
"spotify:track:3W2ZcrRsInZbjWylOi6KhZ","You & Me - Flume Remix","Disclosure, Eliza Doolittle, Flume","Settle (Special Edition)","1","34","282812","spotify:user:transceend","2016-10-29T10:53:04Z"
"spotify:track:217xrcrbBtgJhvlHicxTSH","Say It (feat. Tove Lo)","Flume, Tove Lo","Say It","1","1","262521","spotify:user:transceend","2016-10-29T11:02:08Z"
"spotify:track:4pdPtRcBmOSQDlJ3Fk945m","Let Me Love You","DJ Snake, Justin Bieber","Encore","1","13","205946","spotify:user:transceend","2016-11-05T09:33:32Z"
"spotify:track:4WbNyQy4wVdfopMrApBWQA","HyperParadise - Flume Remix","Hermitude","Parallel Paradise","1","1","268302","spotify:user:transceend","2016-11-13T17:02:41Z"
"spotify:track:0B2MhJr1jwsrj1PCb738hO","Gold - Flume re work","Chet Faker","Trax 9 - Future beats","1","1","267231","spotify:user:transceend","2016-11-13T17:03:06Z"
"spotify:track:23L5CiUhw2jV1OIMwthR3S","In the Name of Love","Martin Garrix, Bebe Rexha","In the Name of Love","1","1","195706","spotify:user:transceend","2016-11-22T22:43:43Z"
