Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:62FQCSvSUSG3m9uajVkvWe","Lamento Boliviano","Los Enanitos Verdes","Coleccion Aniversario","1","1","223146","spotify:user:transceend","2017-01-28T01:47:25Z"
"spotify:track:7DhYjNLksXZhbRQeheAums","Caraluna","Bacilos","Caraluna","1","2","266160","spotify:user:transceend","2017-01-28T01:49:01Z"
"spotify:track:48svUiwMMYQRPyesVEnof1","Tabaco Y Chanel","Bacilos","Bacilos (Re-Issue)","1","2","312400","spotify:user:transceend","2017-01-28T01:49:22Z"
"spotify:track:7zEUFkwnAoAwzwsO3J3G7k","Y Tú","Fonseca, Juanes","Conexión","1","6","238773","spotify:user:transceend","2017-01-28T01:51:29Z"
"spotify:track:6OpHDI8lRiqHLqmUIYUxVr","Te Mando Flores","Fonseca","Corazon","1","5","227735","spotify:user:transceend","2017-01-28T01:51:54Z"
"spotify:track:4hrp3GSWf0Jd8IPlsI7EFh","Arroyito","Fonseca","Grandes Exitos","1","1","237733","spotify:user:transceend","2017-01-28T01:54:18Z"
"spotify:track:7p0v5wR99uMfEB8RSRuM9z","Como Me Mira","Fonseca","Grandes Exitos","1","9","230666","spotify:user:transceend","2017-01-28T01:54:50Z"
"spotify:track:1D5Z5K0orsn5dSDpnan8XO","Como Yo","Juan Luis Guerra 4.40","La Llave De Mi Corazon","1","5","205693","spotify:user:transceend","2017-01-28T01:59:29Z"
"spotify:track:66ggIz6W6hlmlyezLBZDcn","Cuando Me Enamoro","Enrique Iglesias, Juan Luis Guerra 4.40","Euphoria","1","9","200586","spotify:user:transceend","2017-01-28T01:59:40Z"
"spotify:track:5HW3joBaGgCn9vdraZIKpA","La Camisa Negra","Juanes","Mi Sangre","1","4","216706","spotify:user:transceend","2017-01-28T02:00:15Z"
"spotify:track:5vuwXIlqJVWsZdgllKTiZw","Una Flor","Juanes","Loco De Amor","1","5","227586","spotify:user:transceend","2017-01-28T02:01:20Z"
"spotify:track:78DVpEWwmJFC25KGz8fJuE","Clavado En Un Bar","Maná","Sueños Líquidos","1","6","310813","spotify:user:transceend","2017-01-28T02:05:23Z"
"spotify:track:2CkHE54EH44Qj945ynQRw7","De Pies a Cabeza","Maná, Nicky Jam","De Pies a Cabeza","1","1","250466","spotify:user:transceend","2017-01-28T02:06:23Z"
"spotify:track:5UUJODERmh8Dfu960OJicA","Bendita Tu Luz","Maná","Exiliados en la Bahia: Lo mejor de Mana (Correcta)","1","9","263880","spotify:user:transceend","2017-01-28T02:08:27Z"
"spotify:track:5fF0fb0VFihGDHFshDLi2Z","Mi Bendicion","Juan Luis Guerra 4.40","asondeguerra","1","3","188373","spotify:user:transceend","2017-01-28T02:09:12Z"
"spotify:track:1GT0Q2ZTeKtIBueYKr4vhr","La Bilirrubina - Live","Juan Luis Guerra 4.40","Asondeguerra Tour","1","2","232880","spotify:user:transceend","2017-01-28T02:09:19Z"
"spotify:track:2VRssqds7rRNb4eaG9FaY8","Pa Que Me Invitan - Spanglish Version","Jencarlos, Charly Black","Pa Que Me Invitan","1","1","234613","spotify:user:transceend","2017-01-31T01:50:47Z"
"spotify:track:5Fim1gaXBgsiFfsQAfQSDS","Hasta el Amanecer","Nicky Jam","Fénix","1","22","198706","spotify:user:transceend","2017-01-31T01:51:13Z"
"spotify:track:18mmN3VrFWRi6SsSBJf6WJ","Pasos de cero","Pablo Alborán","Terral","1","4","234373","spotify:user:transceend","2017-02-13T00:46:51Z"
"spotify:track:0nfBKG11Wv2bK8cPjMU5VB","Me Voy Enamorando - Remix","Chino & Nacho, Farruko, Arbise González","Radio Universo","1","1","215799","spotify:user:transceend","2017-03-04T20:35:21Z"
"spotify:track:4aWmUDTfIPGksMNLV2rQP2","Despacito (Featuring Daddy Yankee)","Luis Fonsi, Daddy Yankee","Despacito (Featuring Daddy Yankee)","1","1","228200","spotify:user:transceend","2017-06-12T18:05:43Z"
"spotify:track:3uJsjaY89VCiH2lK7CQKqe","Super Bien","Toledo","La Creme de la Creme","1","1","273121","spotify:user:transceend","2017-06-12T18:07:55Z"
