Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0c1gHntWjKD7QShC8s99sq","I Don't Want to Miss a Thing - From the Touchstone film, "Armageddon"","Aerosmith","I Don't Want To Miss A Thing","1","1","299760","spotify:user:transceend","2016-10-31T04:47:59Z"
"spotify:track:1xugsCboIm1yILqpLvH9aD","You Raise Me Up","Josh Groban","Closer (European Special Edition)","1","12","292333","spotify:user:transceend","2016-10-31T04:48:24Z"
"spotify:track:7CKbqqrs0AS1si1ZgaQdcj","Angels","Robbie Williams","Angels","1","1","265333","spotify:user:transceend","2016-10-31T04:49:55Z"
"spotify:track:0bBbCsh7KYOQ2Y1HmqXd4x","You're Still You","Josh Groban","Josh Groban (U.S. Version)","1","3","218480","spotify:user:transceend","2016-10-31T04:51:00Z"
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","The Fray","How To Save A Life","1","3","262533","spotify:user:transceend","2016-10-31T04:54:29Z"
"spotify:track:17VegeBoHvMlIByrdu64KR","Your Song","Elton John","Elton John (Remastered Version)","1","1","244226","spotify:user:transceend","2016-10-31T04:56:05Z"
"spotify:track:7sZYaGhb4hGlnF4uCBGeTj","Circle Of Life","Elton John","Walt Disney Records The Legacy Collection: The Lion King","2","10","291973","spotify:user:transceend","2016-10-31T04:58:18Z"
"spotify:track:18AXbzPzBS8Y3AkgSxzJPb","In The Air Tonight - 2015 Remastered","Phil Collins","Face Value (Deluxe Editon)","1","1","336453","spotify:user:transceend","2016-10-31T05:03:26Z"
"spotify:track:5iRQpPfF8skr0GLWYLRbaN","Let It Go - From "Frozen"/Soundtrack Version","Idina Menzel","Frozen (Original Motion Picture Soundtrack)","1","5","223840","spotify:user:transceend","2016-10-31T05:04:40Z"
"spotify:track:1a4nhcTLL9fNWrUP8X21Tz","Incomplete","Backstreet Boys","The Very Best Of","1","12","239186","spotify:user:transceend","2016-10-31T05:05:41Z"
"spotify:track:38xWaVFKaxZlMFvzNff2aW","Breakeven","The Script","The Script","1","5","261426","spotify:user:transceend","2017-08-30T20:53:24Z"
