Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6WhzFzROw3aq3rPWjgYlxr","Gold","Kiiara","Gold","1","1","225882","spotify:user:transceend","2016-04-24T06:12:29Z"
"spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE","Aquarium","Nosaj Thing","Views/Octopus EP","1","4","184000","spotify:user:transceend","2016-04-24T09:18:43Z"
"spotify:track:1U3oH5CRRcjT5TT69b6eYl","Chimes","Hudson Mohawke","Chimes","1","1","211332","spotify:user:transceend","2016-04-24T09:38:17Z"
"spotify:track:5K4ExI2qvE1Ule3u7LxUDT","Marijuana","Chrome Sparks","Sparks EP","1","2","181149","spotify:user:transceend","2016-04-24T09:39:22Z"
"spotify:track:7t6x3joz78gcn9fGPclTvI","Snap","Nosaj Thing","Home","1","7","205960","spotify:user:transceend","2016-04-24T09:45:43Z"
"spotify:track:5yfLv1CtlTjBLI7qfJ0D5t","Send the Pain On","Chrome Sparks","Sparks EP","1","4","337095","spotify:user:transceend","2016-04-24T11:36:49Z"
"spotify:track:57rOXabUKgkrwHPSqzo4s5","Feels - Jai Wolf Remix","Kiiara, Jai Wolf","Feels (Jai Wolf Remix)","1","1","270222","spotify:user:transceend","2016-08-10T01:40:58Z"
"spotify:track:5q8VL0EXxEgUPYlAUPGqn6","Feels - AWAY Remix","Kiiara, AWAY","Feels (AWAY Remix)","1","1","290202","spotify:user:transceend","2016-08-11T02:16:29Z"
"spotify:track:7ftuuHrqbaRN5qqA8GDedW","Cri","Debruit","From the Horizon","1","1","235237","spotify:user:transceend","2016-09-27T20:11:36Z"
"spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp","Ghostwriter","RJD2","Deadringer: Deluxe","1","6","317933","spotify:user:transceend","2016-10-27T04:53:54Z"
"spotify:track:4ivH621MiVaiFm54ZDEtmE","Vibe","MELVV","Vibe","1","1","144000","spotify:user:transceend","2016-10-28T06:12:59Z"
"spotify:track:3K7ecgy6yxPLmdF7OxSlIG","Law Of Nature","Sixfingerz","Midnight Finger Gymnastics","1","2","272897","spotify:user:transceend","2016-11-10T09:57:35Z"
"spotify:track:2mrQ4PrgokqMC8TA4z0yOE","Indian Summer","Jai Wolf","Indian Summer","1","1","248470","spotify:user:transceend","2017-01-28T02:21:38Z"
"spotify:track:24ylIO48nRsdaONlM8l2HF","Time Is the Enemy","Quantic","The 5th Exotic","1","10","219880","spotify:user:transceend","2017-03-05T22:58:31Z"
"spotify:track:0gDWgUpmcRyIb9yBxeaGQj","Memories","Waldeck","Ballroom Stories","1","3","230326","spotify:user:transceend","2017-03-05T23:15:22Z"
"spotify:track:5ZrrXIYTvjXPKVQMjqaumR","Loud Pipes","Ratatat","Classics","1","6","226533","spotify:user:transceend","2017-07-24T23:39:40Z"
