Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5nXPM1USIi3ELYBHj26zvx","A Mi Guitarra","Johannes Linstead","Guitarra Del Fuego","1","3","225320","spotify:user:rebeca.o","2017-03-22T00:26:34Z"
"spotify:track:6A5nHAuwsuanT3uEMAouxF","Afterglow","Wilkinson","Lazers Not Included","1","3","225172","spotify:user:rebeca.o","2017-03-24T01:29:32Z"
"spotify:track:4yNoaxUJjnP50AXYoAZx4S","Emotional","Flux Pavilion, Matthew Koma","Tesla","1","9","235275","spotify:user:rebeca.o","2017-03-24T01:29:48Z"
"spotify:track:48n92l7OnLEURhalUBtsl7","We Can Make The World Stop","The Glitch Mob","We Can Make The World Stop - EP","1","1","325908","spotify:user:rebeca.o","2017-03-24T01:36:16Z"
"spotify:track:0QIYINh2AwmOmdu8CRYvlw","Bonfire","Knife Party","Rage Valley EP","1","3","272077","spotify:user:rebeca.o","2017-03-24T01:37:51Z"
"spotify:track:04OxTCLGgDKfO0MMA2lcxv","Blind Faith","Chase & Status, Liam Bailey","No More Idols","1","4","233666","spotify:user:rebeca.o","2017-03-24T01:41:02Z"
"spotify:track:3ezkJgagRPZ39KCTrKcSI7","Ghosts 'n' Stuff","deadmau5, Rob Swire","For Lack of a Better Name (The Extended Mixes)","1","3","328746","spotify:user:rebeca.o","2017-03-24T01:41:07Z"
"spotify:track:1m3BAsNsQAaSNMD2M6vlKY","Breezin' - Remastered","George Benson","Breezin'","1","1","341733","spotify:user:rebeca.o","2017-03-24T02:23:13Z"
"spotify:track:1Q4Clqk4Ps3txw1jF2jhlI","Eres Mi Sueño","Fonseca","Ilusión +","1","1","209786","spotify:user:rebeca.o","2017-03-25T20:47:24Z"
"spotify:track:4aWmUDTfIPGksMNLV2rQP2","Despacito (Featuring Daddy Yankee)","Luis Fonsi, Daddy Yankee","Despacito (Featuring Daddy Yankee)","1","1","228200","spotify:user:rebeca.o","2017-03-25T20:48:12Z"
