Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3ovsXSBePe23Ip19Z3a6s2","Heartbeats","The Knife","Deep Cuts","1","1","231800","spotify:user:transceend","2016-11-14T22:33:17Z"
"spotify:track:6HqWcIutC3Bwk6awM1jnGP","Elephant","Tame Impala","Lonerism","1","9","211226","spotify:user:transceend","2016-11-14T22:33:21Z"
"spotify:track:0ZFqkCpQ7YrKAm0528LREE","Young Blood","The Naked And Famous","Young Blood","1","1","232943","spotify:user:transceend","2016-11-16T01:41:32Z"
"spotify:track:6BnONjR7itGMEqwxKTIlRM","Safe And Sound","Capital Cities","In A Tidal Wave Of Mystery (Deluxe Edition)","1","1","192789","spotify:user:transceend","2016-11-16T01:50:54Z"
"spotify:track:3FtYbEfBqAlGO46NUDQSAt","Electric Feel","MGMT","Oracular Spectacular","1","4","229640","spotify:user:transceend","2016-11-16T02:01:51Z"
"spotify:track:6GyFP1nfCDB8lbD2bG0Hq9","Midnight City","M83","Hurry up, We're Dreaming","1","2","243960","spotify:user:transceend","2016-11-16T02:11:56Z"
"spotify:track:3kb38wezoUA8ki5jPYy3t5","Little Secrets","Passion Pit","Manners","1","2","238973","spotify:user:transceend","2016-11-16T02:22:33Z"
"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","Closer","The Chainsmokers, Halsey","Closer","1","1","244960","spotify:user:transceend","2016-11-16T02:30:47Z"
"spotify:track:28owkVMGs6Y7YSRE19HMb0","Girls Like You","The Naked And Famous","Passive Me, Aggressive You (Deluxe Edition)","1","13","364493","spotify:user:transceend","2016-11-16T06:05:06Z"
"spotify:track:33OdSmu4AdBViAXDbCEqK3","Breezeblocks","alt-J","An Awesome Wave (Deluxe Version)","1","4","227080","spotify:user:transceend","2016-11-17T13:43:39Z"
"spotify:track:3NKIxq1k1DBuJ5GAmEhQal","Punching In A Dream - Single Version","The Naked And Famous","Punching In A Dream","1","1","214226","spotify:user:transceend","2016-11-18T02:52:54Z"
"spotify:track:2s9M78CDrQDjB2D827XXr4","Higher","The Naked And Famous","Simple Forms","1","1","230746","spotify:user:transceend","2016-11-18T02:54:29Z"
"spotify:track:1mvyqSb1tOvtVP1qfWEyPa","1901","Phoenix","Wolfgang Amadeus Phoenix","1","2","193120","spotify:user:transceend","2016-11-21T08:42:09Z"
"spotify:track:6TjP1C3sGQH1jBfzUXfcMg","Kamikaze","MØ","Kamikaze","1","1","214240","spotify:user:transceend","2016-12-15T18:52:10Z"
