Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0cWPe8mPRyLMxxe94eRVzs","In the House - In a Heartbeat","John Murphy","In the House - In a Heartbeat","1","1","258173","spotify:user:transceend","2017-02-07T18:54:20Z"
"spotify:track:6BmyeQXKNuiqTMnyd2mI8g","Duel of the Fates","John Williams, London Symphony Orchestra, London Voices, New London Children's Choir","Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","1","2","254360","spotify:user:transceend","2017-02-07T18:58:32Z"
"spotify:track:41uMSJqyaQBiDmxJXvYuDZ","MOLOSSUS FROM BATMAN BEGINS","Hans Zimmer, James Newton Howard, Ramin Djawadi, Mel Wesson, Lorne Balfe","The Music of DC Comics: 75th AnniversaryCollection","1","14","290893","spotify:user:transceend","2017-02-07T18:58:39Z"
"spotify:track:20H1I4p6bRcmbT6pg1J5dE","Winter - Lux Aeterna (From "Requiem for a Dream")","The London Ensemble","100 Greatest Film Themes - Take 2","5","4","240586","spotify:user:transceend","2017-02-07T18:59:20Z"
"spotify:track:6FLwmdmW77N1Pxb1aWsZmO","Only Time","Enya","A Day Without Rain","1","3","218546","spotify:user:transceend","2017-02-28T21:12:57Z"
"spotify:track:6ZFbXIJkuI1dVNWvzJzown","Time","Hans Zimmer","Inception (Music From The Motion Picture)","1","12","275546","spotify:user:transceend","2018-04-17T15:11:18Z"
"spotify:track:6ZFbXIJkuI1dVNWvzJzown","Time","Hans Zimmer","Inception (Music From The Motion Picture)","1","12","275546","spotify:user:transceend","2018-04-17T15:11:18Z"
"spotify:track:6ZFbXIJkuI1dVNWvzJzown","Time","Hans Zimmer","Inception (Music From The Motion Picture)","1","12","275546","spotify:user:transceend","2018-04-17T15:11:18Z"
"spotify:track:7DU7DNVDZouvJ34tPcPxBj","Half Remembered Dream","Hans Zimmer","Inception (Music From The Motion Picture)","1","1","71973","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:1VCBfWtJOGPV3mtGw8mSlW","We Built Our Own World","Hans Zimmer","Inception (Music From The Motion Picture)","1","2","115800","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:5xKVYMxOHB2XRLCUafFrz6","Dream Is Collapsing","Hans Zimmer","Inception (Music From The Motion Picture)","1","3","143800","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:7G799Mcsbvfn5TSWZ7u7gI","Radical Notion","Hans Zimmer","Inception (Music From The Motion Picture)","1","4","222946","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:3maMYEbpgp1ttMONc8Wjyr","Old Souls","Hans Zimmer","Inception (Music From The Motion Picture)","1","5","463986","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:6s543KncTsc2rJtMd6kJ8v","528491","Hans Zimmer","Inception (Music From The Motion Picture)","1","6","143773","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:77QDBf1zTvyegtTpAO5EpH","Mombasa","Hans Zimmer","Inception (Music From The Motion Picture)","1","7","294360","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:3C12og48CWBrxVV2FK6Dhw","One Simple Idea","Hans Zimmer","Inception (Music From The Motion Picture)","1","8","148360","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:7ifWgqspqvPpQWXCfyrho4","Dream Within A Dream","Hans Zimmer","Inception (Music From The Motion Picture)","1","9","304320","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:3iR6S8t0mOLUZUAB77KgrP","Waiting For A Train","Hans Zimmer","Inception (Music From The Motion Picture)","1","10","570253","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:3NVrDGv0eYHeN4M8Abf4UX","Paradox","Hans Zimmer","Inception (Music From The Motion Picture)","1","11","205440","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:6ZFbXIJkuI1dVNWvzJzown","Time","Hans Zimmer","Inception (Music From The Motion Picture)","1","12","275546","spotify:user:transceend","2018-04-17T15:51:44Z"
"spotify:track:5xKVYMxOHB2XRLCUafFrz6","Dream Is Collapsing","Hans Zimmer","Inception (Music From The Motion Picture)","1","3","143800","spotify:user:transceend","2018-04-25T13:42:55Z"
