Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:44alNkXsYnTyPnkMdohBcx","Bloom (Online Bonus Track)","The Paper Kites","Woodland","1","6","209816","spotify:user:transceend","2016-11-16T16:37:43Z"
"spotify:track:11X4Gw3T4hoktVruLgTnm1","Heartbeats","José González","Veneer","1","4","160240","spotify:user:transceend","2016-11-16T16:33:58Z"
"spotify:track:1PiKcVhlmHPvL7IPjx9dJk","I Took A Pill In Ibiza","Mike Posner","At Night, Alone.","1","2","280800","spotify:user:transceend","2016-11-16T16:35:39Z"
"spotify:track:2cbic3TiUENlJX91y67ARR","Skinny Love","Bon Iver","For Emma, Forever Ago","1","3","238520","spotify:user:transceend","2016-11-16T16:37:32Z"
"spotify:track:2bdh8ALxBeuvpnuoh37BDn","Crosses","José González","Veneer","1","5","161840","spotify:user:transceend","2016-11-16T16:37:53Z"
"spotify:track:2gUSIsapdX6jEJ0DvjqTt2","Naked As We Came","Iron & Wine","Our Endless Numbered Days","1","2","152626","spotify:user:transceend","2016-11-16T16:37:56Z"
"spotify:track:2ndWbjiiNBEOrlfToKlABE","I Will Follow You Into The Dark","Death Cab for Cutie","Plans","1","5","189400","spotify:user:transceend","2016-11-16T16:38:02Z"
"spotify:track:5OiaAaIMYlCZONyDBxqk4G","First Day Of My Life","Bright Eyes","I'm Wide Awake, It's Morning","1","6","188800","spotify:user:transceend","2016-11-16T16:38:03Z"
"spotify:track:13yuX1iqobZtQtq5lr8UoC","Blood","The Middle East","The Recordings of the Middle East","1","3","326920","spotify:user:transceend","2016-11-16T16:38:12Z"
"spotify:track:3tchJ8gDgMdaSxpaLxlr1F","To Be Alone With You","Sufjan Stevens","Seven Swans","1","4","168040","spotify:user:transceend","2016-11-16T16:38:17Z"
"spotify:track:7qUoDTmVj07qUf6ZBDhWKl","Blood Bank","Bon Iver","Blood Bank","1","1","285160","spotify:user:transceend","2016-11-16T16:38:23Z"
"spotify:track:7vcuTZAFyu0Z5dgMRLR0h0","Such Great Heights","Iron & Wine","Around The Well","1","11","251280","spotify:user:transceend","2016-11-16T16:38:27Z"
"spotify:track:5eAZSmWJjKNnMposeGbcCh","Poison & Wine","The Civil Wars","Barton Hollow","1","5","219466","spotify:user:transceend","2016-11-16T16:38:44Z"
"spotify:track:1u1YU1LE0FWHFOHpR2iXua","Casimir Pulaski Day","Sufjan Stevens","Illinois","1","10","353946","spotify:user:transceend","2016-11-16T16:38:55Z"
"spotify:track:7fArBkBSsaUF5mOcpTL56I","Eyes","Rogue Wave","Eyes","1","1","148866","spotify:user:transceend","2016-11-16T16:40:21Z"
"spotify:track:0vsh0BY7pAK2E4eWzlDEAr","Dead Sea","The Lumineers","The Lumineers","1","4","247933","spotify:user:transceend","2016-11-16T16:43:45Z"
