Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3uLSUZEmTY50H6Kw17lpfW","Call On Me - Radio Edit","Eric Prydz","Call On Me","1","1","171360","spotify:user:transceend","2016-11-18T02:42:28Z"
"spotify:track:53qhh1kdcX4gRBShoW4LK8","Sing It Back - Boris Dlugosch Mix","Moloko, Boris Dlugosch, Michael Lange","Catalogue","1","2","278000","spotify:user:transceend","2016-11-18T02:42:35Z"
"spotify:track:47xLbuUdmD03ATrke934S1","Freestyler","Bomfunk MC's","Freestyler","1","5","306333","spotify:user:transceend","2016-11-18T02:42:48Z"
"spotify:track:1I8pcPhlVy9pnoYjBTnixi","Pjanoo - Radio Edit","Eric Prydz","Pjanoo","1","1","157432","spotify:user:transceend","2016-11-18T02:42:54Z"
"spotify:track:5hDPWrf12qJQ2pFGTbputX","Ecuador - Original Radio Edit","Sash!","The Best Of","1","2","212133","spotify:user:transceend","2016-11-18T02:43:01Z"
"spotify:track:3UL6Lzsocv9Ucizgzid2B0","We like to Party! (The Vengabus)","Vengaboys","Greatest Hits!","1","1","224226","spotify:user:transceend","2016-11-18T02:43:07Z"
"spotify:track:3aQz0z86zrKjd1mcZlonxE","Infinity 2008 - Klaas Vocal Edit","Guru Josh Project, Klaas","Infinity 2008","1","3","192294","spotify:user:transceend","2016-11-18T02:43:13Z"
"spotify:track:0GZrU9sCLn39eMCn01Lfux","Destination Calabria - Radio Edit","Alex Gaudino, Crystal Waters","Destination Calabria (Radio Edit) [feat. Crystal Waters]","1","1","183146","spotify:user:transceend","2016-11-18T02:43:24Z"
"spotify:track:4NSLa0FrycWNC9YosV2BZr","Played a Live","Safri Duo","Años 2000 Vol. 7","1","15","196653","spotify:user:transceend","2016-11-18T02:43:36Z"
"spotify:track:2opOzWbmTURCchQDDbWEpL","Boten Anna - Radio edit","Basshunter","Boten Anna","1","1","207066","spotify:user:transceend","2016-11-18T02:43:41Z"
"spotify:track:4wEVHpFRSoMVJh0LAuN5d7","Love Generation","Bob Sinclar, Gary Nesta Pine","Diez Años De Mas Nescafé","1","1","206373","spotify:user:transceend","2016-11-18T02:43:48Z"
"spotify:track:2T1Xemp92qxuUCAFBWfRrj","Put Your Hands Up For Detroit","Fedde Le Grand","Put Your Hands Up For Detroit","1","1","396000","spotify:user:transceend","2016-11-18T02:43:55Z"
"spotify:track:48JrHJdke53Te8dQ9aWzvV","The Rockafeller Skank - Short Edit","Fatboy Slim","You've Come a Long Way Baby (10th Anniversary Edition)","1","2","413880","spotify:user:transceend","2016-11-18T02:44:39Z"
