Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:73ITRTW2Zk3pWuCexcq0Z6","Missing","Other, Nana the Writer","Missing","1","1","180889","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:3p7QdyY9RFucHRkeEugVTV","Where'd U Go - Thoreau Rework","Illenium, Said the Sky, Thoreau","Awake (Remixes)","1","5","215172","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:2dlurMEcEjdM7X4JecQ3LV","Late Bloomer","Unlike Pluto","Late Bloomer","1","1","186141","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:7vr02LLXUQXuVqX2ViLNG7","Bullet","Tula","Bullet","1","1","255978","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:3dlVDddut0PTkGTxLHoHmD","Nothing To Lose","KRANE, Jupom","SESSIONS, Vol. 2","1","7","196615","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:0A9MQuneytltyLi04PciiS","Let's Fly Away Together (feat. LUNA MAY)","GANZ, Luna May","Let's Fly Away Together (feat. LUNA MAY)","1","1","217254","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:6Up37kXhL1zwGOUOVfWkE4","Doubt House","EMBRZ","Doubt House","1","1","198400","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:6tv43DiBgTHgC0dtID2MXW","Superlove (feat. Oh Wonder)","Whethan, Oh Wonder","Superlove (feat. Oh Wonder)","1","1","184814","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:5nzcrrZF7UUCPRa8YsdOb3","Superstar","Said the Sky, Dabin, Linn","Superstar","1","1","206222","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:7HXtzht0l4d7pfoiEn13ea","Landmine","FINNEAS","Landmine","1","1","208675","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:1HPqFAq2MGsfIPdrFV3nc7","Water","BLYNE","Water","1","1","166658","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:7xKgIO7hF7sbljmZa6TTEl","Bad Decisions","Frame, Bijou.","Bad Decisions","1","1","219600","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:1PdZLPqOdJo1kj5bNn278j","Breath","Citna","Hide","1","1","186000","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:63WLb2bc2iJTvnbZPqb0Du","Honey","salute","Honey","1","1","274412","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:7qjuiTw148Qqxh544oniQe","Polarised","Cosmo's Midnight","What Comes Next","1","9","188570","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:5KkpSVa1x2xI9Jo70VAOw5","Memories","Billboard","Memories","1","3","279560","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:4ydbqJp7BXmhk5hUPAmqpe","Scenes from a Midnight Movie - OTR Remix","Blood Cultures, OTR","Scenes from a Midnight Movie (OTR Remix)","1","1","212400","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:2s1AhFYnZAtSU5rk4lvwB7","Lie","Shallou, Riah","Souls","1","6","215445","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:7vebS6s97IPqq8U7z4cu1B","All Your Love","Flight Facilities, Dustin Tebbutt","All Your Love","1","1","285004","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:5DVVw9e4D656vURT3pfnjg","No Place","RÜFÜS DU SOL","No Place","1","1","238008","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:7Cq7QA3Uy9H5O3uN87n1Zh","Melody - Klangkarussell Remix","Lost Frequencies, James Blunt, Klangkarussell","Melody (Remixes, Pt. 1)","1","3","709890","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:3Rq6P182eo9WxU3pccru8m","Us Again","Benji Lewis","Us Again","1","1","191154","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:5YcbHaUSpKl8FjtNhnjz6p","Previously (feat. Anna Wiebe, Japanese Wallpaper & CLLLAPS)","swim good now, Anna Wiebe, Japanese Wallpaper, CLLLAPS","Daylight","1","4","185301","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:3oeZ88Xw81fqflmc0WV3jX","Eyes","N i G H T S","Eyes","1","1","238336","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:7aZnBNLw2fiQ2nFYSICkXs","No Time Like Now - Yoste Remix","Illenium, Yoste","Awake (Remixes)","1","3","181960","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:5bO33fxvcGqZp7Pw3zIQsj","Discovery","AK","Discovery","1","1","210580","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:4mLrwquhAAfa4PoLj9fblE","Untitled","Hazey Eyes","Goodbye","1","3","188906","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:260ouM8lkaEJ7Aetea9ClT","Lost You","quickly, quickly","Quickly Quickly, Vol. 1","1","4","184771","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:5yy4ex6IsieN03YzgiYHYS","Legion","Kisnou","Madre Terra","1","2","225391","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:5zVDIYblfLkAelI5BRZJhl","Circles","Oliver Tank","OT","1","1","239666","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:4zBLK7xEbDSBauPWITFkzU","November","Feverkin","November","1","1","210309","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:16fnEn2QxYZwTPlLGT8Umu","Hurt","Late June","Hurt","1","1","168463","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:5uKMLvXlvwuO3ANkilD5GT","Airborne","Zivøn","Skycrier EP","1","2","202128","spotify:user:suicidesheepify","2018-06-28T16:38:23Z"
"spotify:track:30DvrKbciJunUOfIlg0FQy","Heart (Samuraii Remix)","Stonefox, Samuraii","Heart (Samuraii Remix) - Single","1","1","343846","spotify:user:suicidesheepify","2017-01-25T20:16:34Z"
"spotify:track:4uGeAA8rhbxiVm2jCpThwT","All I Need - Original Mix","Lovejet","All I Need (Original Mix)","1","1","240000","spotify:user:suicidesheepify","2017-01-25T20:16:34Z"
"spotify:track:2cX9YnTbVjIPBZiySWMUqT","Best Thing (feat. Gavrielle) - Original Mix","Louis Vivet","Best Thing (feat. Gavrielle) - Single","1","1","304105","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:1ASr37ThbfvLw1LTQMDqVV","Moments of Silk","Jay Rodger","Moments of Silk","1","1","214358","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:6FmgfD3NTbcVH2uh6N2nvX","We Are Together - Original Mix","Planet Of Sound","We Are Together (Mixes)","1","2","386380","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:4pOwvmHk011lEiGyvbHWHh","The Room","EvenS","Stay","1","1","204564","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:16jxMKaB6y67fvjmOQTV8M","Praise You - Maribou State Remix","Fatboy Slim","Praise You (Maribou State Remix)","1","1","343581","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:7e2sIF3MXofSbSkwGLplfX","Blu","MitiS & MaHi","Blu","1","1","304248","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:4VZH3vAVl0ST1qwss2RTXv","Architecture - Original EP Version","SALM","Architecture EP","1","1","307947","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:5G1uE8ikVmSMqjIj8QjElb","Omega Point","Apex","Omega Point EP","1","1","323720","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:00WgnFIsY1y84p7mYAJRuF","String Theory","Apex","Omega Point EP","1","2","333514","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:6jH82qObHnwMxGOdhmZ3YD","Searching - Original Mix","ENiGMA Dubz","Variationz","1","11","263000","spotify:user:suicidesheepify","2016-02-20T01:48:03Z"
"spotify:track:1W4J1nJr1nmYjC1ooY8xuC","Back to You","WILD","Wild","1","12","195520","spotify:user:suicidesheepify","2015-12-01T20:49:01Z"
"spotify:track:4ceqgIHiBv9PYAdn1kJmst","Spirits - Sondr Remix","The Strumbellas, Sondr","Spirits (Sondr Remix)","1","1","184118","spotify:user:suicidesheepify","2016-08-30T21:23:08Z"
