Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2QiqwOVUctPRVggO9G1Zs5","Wake Up - Remastered","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","1","7","363853","spotify:user:transceend","2016-10-29T04:25:30Z"
"spotify:track:59WN2psjkt1tyaxjspN8fp","Killing In The Name","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","1","2","313573","spotify:user:transceend","2016-10-29T04:25:50Z"
"spotify:track:1wsRitfRRtWyEapl0q22o8","Guerrilla Radio","Rage Against The Machine","The Battle Of Los Angeles","1","2","206200","spotify:user:transceend","2016-10-29T04:27:28Z"
"spotify:track:2rBHnIxbhkMGLpqmsNX91M","Bombtrack - Remastered","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","1","1","243453","spotify:user:transceend","2016-10-29T04:28:31Z"
"spotify:track:2xI7o9zYcqynmueNH4foku","Take A Look Around","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","1","10","321040","spotify:user:transceend","2016-10-29T04:29:58Z"
"spotify:track:5FCyoZGaN6nRod1oNDJIWZ","Breathe","The Prodigy","The Fat Of The Land","1","2","334800","spotify:user:transceend","2016-10-29T04:39:14Z"
"spotify:track:2lBpN5CZ3zLyVIPejUhN6Y","Smack My Bitch Up","The Prodigy","The Fat Of The Land","1","1","342733","spotify:user:transceend","2016-10-29T04:39:50Z"
"spotify:track:0QwzCPyTv6UnzjAhZZ0CkB","Firestarter","The Prodigy","The Fat Of The Land","1","8","279800","spotify:user:transceend","2016-10-29T04:40:03Z"
"spotify:track:5xhQChGGhKLWqBqX4XhtYE","Sail","AWOLNATION","Megalithic Symphony Deluxe","1","10","259102","spotify:user:transceend","2016-11-14T22:46:42Z"
"spotify:track:0Puj4YlTm6xNzDDADXHMI9","Sabotage","Beastie Boys","Ill Communication","1","6","178440","spotify:user:transceend","2016-12-21T17:37:30Z"
