Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0OMRAvrtLWE2TvcXorRiB9","La Gozadera","Gente De Zona, Marc Anthony","Visualízate","1","1","203160","spotify:user:transceend","2016-08-13T03:07:55Z"
"spotify:track:63MgFVcIldlw51imFtcgK1","El Perdón","Nicky Jam, Enrique Iglesias","El Perdón (w/ Enrique Iglesias)","1","1","207013","spotify:user:transceend","2016-11-19T09:39:03Z"
"spotify:track:7r15j439zkGhA3KRksbwuv","Watch Out For This (Bumaye)","Major Lazer, Busy Signal, The Flexican, FS Green","Free the Universe (Extended Version)","1","8","269146","spotify:user:transceend","2016-11-29T05:34:22Z"
"spotify:track:2VRssqds7rRNb4eaG9FaY8","Pa Que Me Invitan - Spanglish Version","Jencarlos, Charly Black","Pa Que Me Invitan","1","1","234613","spotify:user:transceend","2017-01-03T20:36:50Z"
"spotify:track:2RVrdr062uLFxXwIxwdXPH","Te Amo","Piso 21, Paulo Londra","Te Amo","1","1","201122","spotify:user:transceend","2018-07-05T14:29:37Z"
"spotify:track:1j6xOGusnyXq3l6IryKF3G","Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21, Manuel Turizo","Ubuntu","1","8","220116","spotify:user:transceend","2018-07-05T14:29:44Z"
"spotify:track:1RvL7eHoeUolnQbWm2Hnba","La Vida Sin Ti","Piso 21","Ubuntu","1","1","194984","spotify:user:transceend","2018-07-05T14:29:51Z"
"spotify:track:1RvL7eHoeUolnQbWm2Hnba","La Vida Sin Ti","Piso 21","Ubuntu","1","1","194984","spotify:user:transceend","2018-07-05T14:30:01Z"
"spotify:track:5hEM0JchdVzQ5PwvSfITeX","Me Llamas (feat. Maluma) - Remix","Piso 21, Maluma","Me Llamas (feat. Maluma) [Remix]","1","1","210322","spotify:user:transceend","2018-07-05T14:30:06Z"
"spotify:track:2xw9PXlt8IaCWZjfpJ2HPL","Oh Child","Robin Schulz, Piso 21","Oh Child","1","1","195261","spotify:user:transceend","2018-07-05T14:30:11Z"
"spotify:track:43jclIPKJv9iFiYWVyWqsb","Besándote","Piso 21","Ubuntu","1","3","181048","spotify:user:transceend","2018-07-05T14:30:29Z"
"spotify:track:6lnsNCU0R1KZGhTRAJsmoo","El Amante","Nicky Jam","Fenix","1","5","219506","spotify:user:transceend","2018-07-05T14:31:48Z"
"spotify:track:2zKhN4gBTln4QgDo2KYuML","X","Nicky Jam, J Balvin","X","1","1","173627","spotify:user:transceend","2018-07-05T14:31:57Z"
"spotify:track:0ERbK7qVqveCaBWIiYCrl3","Bella y Sensual","Romeo Santos, Daddy Yankee, Nicky Jam","Golden","1","10","204700","spotify:user:transceend","2018-07-05T14:32:08Z"
"spotify:track:6f4UPdDBQONKJBRqwZGjaJ","Cásate Conmigo","Silvestre Dangond, Nicky Jam","Cásate Conmigo","1","1","209032","spotify:user:transceend","2018-07-05T14:32:32Z"
"spotify:track:4l3xGFwoTinvYxsePytOOf","Báilame - Remix","Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian","La Criatura","1","6","217093","spotify:user:transceend","2018-07-05T14:33:18Z"
"spotify:track:5hcisvFMidkMJlElTO9Qmw","Sensualidad","Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian","Sensualidad","1","1","297485","spotify:user:transceend","2018-07-05T15:01:19Z"
"spotify:track:7JNh1cfm0eXjqFVOzKLyau","Mayores","Becky G, Bad Bunny","Mayores","1","1","202453","spotify:user:transceend","2018-07-05T15:02:05Z"
"spotify:track:70lnL3QaSOIIyMa2X9aVRL","Perro Fiel","Shakira, Nicky Jam","El Dorado","1","6","195213","spotify:user:transceend","2018-07-05T15:03:07Z"
"spotify:track:0Gx4VrHzS7pZOEAGrmXXBH","La Bicicleta","Carlos Vives, Shakira","VIVES","1","12","229509","spotify:user:transceend","2018-07-05T15:05:34Z"
