Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7Jh1bpe76CNTCgdgAdBw4Z",""Heroes" - 2017 Remastered Version","David Bowie",""Heroes" (2017 Remastered Version)","1","3","371413","spotify:user:transceend","2018-06-29T21:19:24Z"
"spotify:track:2EC9IJj7g0mN1Q5VrZkiYY","Rebel Rebel - 2016 Remastered Version","David Bowie","Diamond Dogs (2016 Remastered Version)","1","6","274746","spotify:user:transceend","2018-06-29T21:19:29Z"
"spotify:track:0pQskrTITgmCMyr85tb9qq","Starman - 2012 Remastered Version","David Bowie","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version)","1","4","254293","spotify:user:transceend","2018-06-29T21:19:36Z"
"spotify:track:72Z17vmmeQKAg8bptWvpVG","Space Oddity - 2015 Remastered Version","David Bowie","David Bowie (aka Space Oddity) [2015 Remastered Version]","1","1","318813","spotify:user:transceend","2018-06-29T21:19:43Z"
"spotify:track:3ZE3wv8V3w2T2f7nOCjV0N","Life On Mars? - 2015 Remastered Version","David Bowie","Hunky Dory (2015 Remastered Version)","1","4","235986","spotify:user:transceend","2018-06-29T21:19:48Z"
"spotify:track:0F0MA0ns8oXwGw66B2BSXm","Let's Dance - 1999 Remastered Version","David Bowie","Let's Dance","1","3","457133","spotify:user:transceend","2018-06-29T21:20:08Z"
"spotify:track:40HGoSHn9gELCcJu8TLakq","Under Pressure - Single Version, 2017 Remastered Version","Queen, David Bowie","A New Career In A New Town (1977 - 1982)","9","12","248720","spotify:user:transceend","2018-06-29T21:20:13Z"
"spotify:track:7LyIoUsiMtelB1I0I4drEF","Modern Love - 1999 Remastered Version","David Bowie","Let's Dance","1","1","288466","spotify:user:transceend","2018-06-29T21:20:21Z"
"spotify:track:1Jc6ZpHIhXZLguEC923ZQs","Warszawa - Live","David Bowie","Welcome To The Blackout (Live London '78)","1","1","387186","spotify:user:transceend","2018-06-29T21:20:36Z"
"spotify:track:5IyL3XOaRPpTgxVjRIAxXU","Ziggy Stardust - 2012 Remastered Version","David Bowie","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version)","1","9","194440","spotify:user:transceend","2018-06-29T21:20:47Z"
"spotify:track:6mib3N4E8PZHAGQ3xy7bho","Moonage Daydream - 2012 Remastered Version","David Bowie","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version)","1","3","279693","spotify:user:transceend","2018-06-29T21:20:53Z"
"spotify:track:6BXD2lz88oKl4qlattt0cA","The Jean Genie - Live","David Bowie","Welcome To The Blackout (Live London '78)","1","5","394306","spotify:user:transceend","2018-06-29T21:21:03Z"
"spotify:track:70Ukvwcp6LkgfRiuUhGV7l","Nothing Compares 2 U","Prince","Nothing Compares 2 U","1","1","280743","spotify:user:transceend","2018-06-29T21:22:23Z"
"spotify:track:54X78diSLoUDI3joC2bjMz","Purple Rain","Prince","Purple Rain","1","9","520786","spotify:user:transceend","2018-06-29T21:22:27Z"
"spotify:track:62LJFaYihsdVrrkgUOJC05","Kiss","Prince","Parade - Music From The Motion Picture Under The Cherry Moon","1","10","226240","spotify:user:transceend","2018-06-29T21:22:32Z"
"spotify:track:51H2y6YrNNXcy3dfc3qSbA","When Doves Cry","Prince","Purple Rain","1","6","352906","spotify:user:transceend","2018-06-29T21:22:36Z"
"spotify:track:5jSz894ljfWE0IcHBSM39i","Raspberry Beret","Prince","Around The World In A Day","1","4","215173","spotify:user:transceend","2018-06-29T21:22:41Z"
