Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5c5a2Ptu8eyIpljhQHjIqk","Ain't No Rest for the Wicked - Original Version","Cage The Elephant","Cage The Elephant","1","3","175493","spotify:user:transceend","2016-10-29T03:25:21Z"
"spotify:track:3m6KkYKdnbffMpGd9Pm9FP","Seven Nation Army","The White Stripes","Elephant","1","1","231920","spotify:user:transceend","2016-10-29T03:26:35Z"
"spotify:track:3ztCt91U2wGkDZuzbCwH6H","Black Hole Sun","Soundgarden","Superunknown (20th Anniversary)","1","7","318586","spotify:user:transceend","2016-10-29T03:31:02Z"
"spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz","When I Come Around","Green Day","Dookie","1","10","178000","spotify:user:transceend","2016-10-29T03:38:21Z"
"spotify:track:6pkv89yzv9kw6Vxhz8nSIH","The Passenger","Iggy Pop","A Million In Prizes: Iggy Pop Anthology (Edited Version)","1","19","280450","spotify:user:transceend","2016-10-29T03:47:45Z"
"spotify:track:1f3yAtsJtY87CTmM8RLnxf","Smells Like Teen Spirit","Nirvana","Nevermind (Deluxe Edition)","1","1","301920","spotify:user:transceend","2016-10-29T04:46:48Z"
"spotify:track:4yzgjSHWy5E8fKflgwaKQh","Come As You Are","Nirvana","MTV Unplugged In New York","1","2","253893","spotify:user:transceend","2016-10-29T04:47:06Z"
"spotify:track:2UzMpPKPhbcC8RbsmuURAZ","Do I Wanna Know?","Arctic Monkeys","AM","1","1","272386","spotify:user:transceend","2016-11-16T02:20:37Z"
"spotify:track:6y20BV5L33R8YXM0YuI38N","No One Knows","Queens of the Stone Age","Songs For The Deaf (UK Version)","1","2","278746","spotify:user:transceend","2016-11-16T18:56:13Z"
"spotify:track:4MhTFsyqIJnjsOweVcU8ug","Sweet Child O' Mine","Guns N' Roses","Appetite For Destruction","1","9","356400","spotify:user:transceend","2016-11-19T09:40:46Z"
