Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2avaSeKHI5l4sLruVfLdi2","Burning Heart","Survivor","Rocky IV","1","1","230202","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:5vI0C3TDTxySR6Oq8NWjE0","Hearts On Fire","John Cafferty","Rocky IV","1","2","252772","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:2i6OkzGsxts1J1ZubuZyWU","Double or Nothing","Kenny Loggins, Gladys Knight","Rocky IV","1","3","223640","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:2KH16WveTQWT6KOG9Rg6e2","Eye of the Tiger","Survivor","Rocky IV","1","4","245620","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:409WAJPEw4a73vs2c5FIZI","War/Fanfare from Rocky IV","Vince DiCola","Rocky IV","1","5","355893","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:4Y5yjzs9FFw5qIgfZBd43I","Living in America","James Brown","Rocky IV","1","6","282840","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:5bnMKUXkMfYVXW8FjvFTuV","No Easy Way Out","Robert Tepper","Rocky IV","1","7","261596","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:3SRUDNjqytG9EPSz5VZkE5","One Way Street - From the film "Rocky IV"","Go West","Rocky IV","1","8","277339","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:7aZcGRPjgCu7pv9LL5Nxic","The Sweetest Victory","Touch","Rocky IV","1","9","263360","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:5PKtqiUwkjveVYzmj4gMnz","Training Montage","Vince DiCola","Rocky IV","1","10","218731","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:194q6RR0JRyNKZPHiJIvaw","Man Against the World","Survivor","Rocky IV","1","11","215800","spotify:user:","2011-10-24T02:10:59Z"
"spotify:track:22xkVMfqUDYPx2qohyNy0t","Gonna Fly Now (Theme From "Rocky") - 2006 - Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","1","168333","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:4K4NXFrAlIU6uhzrSIXyTJ","Rocky: Yo Adrian!","Sylvester Stallone","Rocky Balboa: The Best Of Rocky","1","2","30066","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:02RYVyQZ0V1iA5PWvsyTYE","Eye of the Tiger","Survivor","Rocky Balboa: The Best Of Rocky","1","3","233400","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:04x0xXmUWS3cGKyPKj4rDh","Adrian: The One Thing - Win!","Sylvester Stallone","Rocky Balboa: The Best Of Rocky","1","4","6933","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:4e08pw7zx960s87THzGYtG","Going The Distance - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","5","159933","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:6rCvd4jXCLQvXazPVhbST2","Rocky: The Pursuit Of Happiness","Sylvester Stallone","Rocky Balboa: The Best Of Rocky","1","6","7293","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:6ydES6oohEKseyu2HHac6H","Living In America","James Brown","Rocky Balboa: The Best Of Rocky","1","7","284773","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:1DPgpCStrsRfvGQEGLlxpv","Redemption (Theme From Rocky II) - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","8","160960","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:4P8ideEn7hE41BkkksZ0WR","Fanfare For Rocky - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","9","154266","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:7ifRccLokRNGr1zSp82HUi","Duke: You Know What You Gotta Do","Sylvester Stallone","Rocky Balboa: The Best Of Rocky","1","10","21000","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:70lQMZ2zqa7YlRD4jLPcM2","Burning Heart (From "Rocky IV") - 2006 Digital Remaster","Survivor","Rocky Balboa: The Best Of Rocky","1","11","232040","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:6TEaAZWScsFOkrtAm3UXov","Conquest - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","12","282560","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:4REP9Ql2Oy3mTC33SpnUGg","Adrian - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","13","99533","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:3LvCqgG5RndakvanS3qkNH","Rocky: 'Cause I'm a Fighter","Sylvester Stallone","Rocky Balboa: The Best Of Rocky","1","14","7573","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:5c2FU1FsX89XWkD7nARz9i","No Easy Way Out - 2006 Digital Remaster","Robert Tepper","Rocky Balboa: The Best Of Rocky","1","15","263466","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:2asaIiKAEfdHQqAs14l4LA","Rocky: Go The Distance","Sylvester Stallone","Rocky Balboa: The Best Of Rocky","1","16","15293","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:791MAcxKPrGgAok2CHuxnj","Rocky's Reward - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","17","125106","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:0BbLClZQCD55qPIqhNz0ea","Alone In The Ring - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","18","69626","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:1NqK0SRyPX0wGCeDIBthiD","Rocky: Everybody Can Change!","Sylvester Stallone","Rocky Balboa: The Best Of Rocky","1","19","16506","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:6BnGbTr1x0NXYrI7G0TQ4A","Heart's On Fire - 2006 Digital Remaster","John Cafferty","Rocky Balboa: The Best Of Rocky","1","20","252560","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:6HIDP1hvsYba0GAeJ7iKzB","Can't Stop The Fire - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","21","200173","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:7ok4EqAdjMiFaOHKx8QKll","Mickey - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","22","277960","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:0e1k44nvT9mwpOHmlPbV2v","Overture - 2006 Digital Remaster","Bill Conti","Rocky Balboa: The Best Of Rocky","1","23","522306","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:6EqhPpmxpFVQKh5RlmEXEg","Rocky: Ain't Nothin' Over 'Til It's Over","Sylvester Stallone","Rocky Balboa: The Best Of Rocky","1","24","7933","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:3HwBeOyZiJsX4cotFZSljw","Gonna Fly Now - 2006 Digital Remaster","Natalie Wilde, Bill Conti","Rocky Balboa: The Best Of Rocky","1","26","175866","spotify:user:","2011-10-24T02:11:34Z"
"spotify:track:6vE4or2Xryw4BCOkLUvmFA","War","Vince DiCola","The Rocky Story","1","7","356466","spotify:user:","2011-10-24T02:12:29Z"
