Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7EUeWMyUhm6iLwp9extdcd","Ya no Queda Nada","Tito Nieves","Salsabor 2","1","1","207293","spotify:user:transceend","2016-08-21T21:33:44Z"
"spotify:track:3tm3GG9BBOYhUzKWlS6A74","Vivir Mi Vida","Marc Anthony","Vivir Mi Vida","1","1","251160","spotify:user:transceend","2016-08-21T21:42:21Z"
"spotify:track:23Fw0qh3Onqn2276LiL2pT","Lloraras","Oscar D'León","15 Exitos De- Oscar D Leon","1","7","221007","spotify:user:transceend","2016-08-21T23:49:03Z"
"spotify:track:6vuWGCNmi4tXfhHKNoLIgo","Comerte A Besos - Salsa Version","Frankie Negrón, Mario de Jesús, Sergio George","Siempre Frankie (greatest hits)","1","2","269800","spotify:user:transceend","2016-08-21T23:53:25Z"
"spotify:track:0MEn5wVttIHOLTgRQtWcOv","Aïcha","Africando","World Music Legend - Volume 1","1","2","312800","spotify:user:transceend","2016-08-22T02:36:25Z"
"spotify:track:2yL6PvB353hPfSVfdnuUq1","Yo No Se Mañana","Luis Enrique","Ciclos","1","1","259853","spotify:user:transceend","2016-08-22T02:39:56Z"
"spotify:track:5uUtqceCsKoQ2J7DDGNbIE","Juliana","D.L.G.","10 De Colección","1","7","297306","spotify:user:transceend","2016-08-22T02:40:06Z"
"spotify:track:5A9AILetvfQg3LHyX5X0pV","Yo También","Romeo Santos, Marc Anthony","Fórmula, Vol. 2 (Deluxe Edition)","1","9","306453","spotify:user:transceend","2016-08-26T00:27:02Z"
"spotify:track:1qjvPM1zn6mjy5VyLUypGd","Chin Chon Chow","Louie Ramirez","Snowboy Afro Cuban Kaleidoscope","1","12","171213","spotify:user:transceend","2016-10-31T03:09:18Z"
"spotify:track:1KyLiMtoIedJendWWBfN1y","Sayonara","Jonathan Moly, Jerry Rivera","Sayonara","1","1","237200","spotify:user:transceend","2016-11-16T19:25:55Z"
"spotify:track:2AMDKSt4HJWZbuLupJuNrj","Valió la Pena - Salsa Version","Marc Anthony","Valio La Pena","1","1","289466","spotify:user:transceend","2017-09-30T23:38:55Z"
"spotify:track:1KPQ6OqugaSNd6gQSHCYWZ","Pa Que Me Llamas - Salsa","Luis Miguel Del Amargue","Dispuesto a Todo","1","11","282286","spotify:user:transceend","2017-09-30T23:42:02Z"
"spotify:track:72mdwZY7VUhWZCr1aux891","Gozalo","La-33","Gozalo","1","8","347575","spotify:user:transceend","2017-09-30T23:52:21Z"
"spotify:track:13IiQQx5tFXgY11iE1sui8","Ay Amor Cuando Hablan Las Miradas","Guayacán Orquesta","A Fondo Con...Guayacan Orquesta","1","1","257018","spotify:user:transceend","2017-09-30T23:53:45Z"
"spotify:track:59g4uwHgQ0nLbLgjaOlQYu","Gozala Con la 33","La-33","Rumba Buena","1","1","340688","spotify:user:transceend","2017-10-13T01:48:59Z"
"spotify:track:6258We1xSV3M2oLVMwhirP","La Pantera Mambo","La-33","La-33","1","4","374840","spotify:user:transceend","2017-10-20T05:56:44Z"
