Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2MioxSroS0g1mi24LLfcnq","Por un Segundo","Aventura","The Last","1","2","255026","spotify:user:","2011-11-07T10:31:17Z"
"spotify:track:5jJTqI5yteOyLWoDTjiHCO","Yo No Se Manana - Salsa Version","Luis Enrique","Ciclos","1","1","261880","spotify:user:","2011-11-07T10:33:51Z"
"spotify:track:5YfqVqJwjxiyhxvofbCnHp","Conteo Regresivo - Salsa Version","Gilberto Santa Rosa","Contraste En Salsa","1","1","266786","spotify:user:","2011-11-07T10:34:06Z"
"spotify:track:2XYkvc4UWMO9U2iQcIjJe7","Te Extraño - Bachata Version","Xtreme","Bandidos De La Bachata","1","10","213973","spotify:user:","2011-11-07T10:34:53Z"
"spotify:track:6IfMD01z39P15HKezjdaMP","Bachata En Fukuoka","Juan Luis Guerra 4.40","asondeguerra","1","5","191106","spotify:user:","2011-11-07T10:35:08Z"
"spotify:track:4g7kMamY3agiOoRtqHutYP","Stand by Me","Prince Royce","Prince Royce","1","1","205266","spotify:user:","2012-01-11T12:47:44Z"
"spotify:track:7a6htfBLgGUd4e36u2ISrx","Corazón Sin Cara","Prince Royce","Prince Royce","1","2","212760","spotify:user:","2012-01-11T12:51:29Z"
"spotify:local:Jerry+Rivera:Salsa+Lo+Maximo+Vol.2+%5B2007%5D:Mi+Libertad+%28Jerry+Rivera+%26+J.Voltio%29:275","Mi Libertad (Jerry Rivera & J.Voltio)","Jerry Rivera","Salsa Lo Maximo Vol.2 [2007]","0","0","275000","spotify:user:","2012-01-11T13:00:29Z"
"spotify:track:0r8RjrJjZ9U3OxZpGsn3v8","Amores como el nuestro (Salsa)","Jerry Rivera","Un poquito de' to (Salsa - Merengue - Bachata & Reggaeton)","1","5","305293","spotify:user:","2012-01-11T13:08:10Z"
"spotify:track:6KHOqFiIl2zrugsFnbt1py","Cuando Volveras (English Version) [Bonus Track]","Aventura","Generation Next","1","11","210733","spotify:user:","2012-01-12T15:47:18Z"
"spotify:track:6449k11smNXQ3awetxDw9a","La Bien Paga","La Sucursal S.A.","Lo Nuestro","1","7","243853","spotify:user:","2012-03-12T17:31:47Z"
"spotify:local:Croma+latina::Aire:357","Aire","Croma latina","","0","0","357000","spotify:user:","2012-02-15T10:10:15Z"
"spotify:track:23Fw0qh3Onqn2276LiL2pT","Lloraras","Oscar D'León","15 Exitos De- Oscar D Leon","1","7","221007","spotify:user:","2012-03-12T17:37:31Z"
"spotify:track:477Lck4fZcshudQnEcoxMB","Que Bueno Baila Usted","Oscar D'León","Oscar D'leon En New York","1","8","215655","spotify:user:","2012-03-12T17:38:07Z"
"spotify:track:0k1hbeZodoEw34FAdbh8xM","Brujeria","El Gran Combo De Puerto Rico","Aqui No Se Sienta Nadie!","1","6","205813","spotify:user:","2012-03-12T17:38:40Z"
"spotify:track:4d8HXROn8ggtPE4oGc7pKG","Micaela","Sonora Carruseles","Heavy Salsa","1","9","284560","spotify:user:","2012-03-12T17:48:01Z"
"spotify:track:25nVrNcuYYshr922Vrv2or","La Sombra","La Sucursal S.A.","Lo Nuestro","1","1","324906","spotify:user:","2012-03-12T18:10:58Z"
"spotify:track:4JXDzBGK2uU9REfFiZ4kIP","Clocks","Coldplay","Rhythms Del Mundo Cuba","1","1","299866","spotify:user:","2012-03-13T15:46:25Z"
