Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0AhRPDuVwHkLAACbPXidb3","If I Lose Myself - Alesso vs OneRepublic","OneRepublic, Alesso","If I Lose Myself (Alesso vs OneRepublic)","1","1","214066","spotify:user:1177356009","2016-02-20T03:24:14Z"
"spotify:track:5M9jOReAKGZ2AttVefFjTY","Don't Look Down","Martin Garrix, Usher","Don't Look Down","1","1","223139","spotify:user:1177356009","2016-02-20T03:24:27Z"
"spotify:track:7B1Dl3tXqySkB8OPEwVvSu","We'll Be Coming Back","Calvin Harris, Example","18 Months","1","5","234360","spotify:user:1177356009","2016-02-20T03:24:36Z"
"spotify:track:2CPqh63wRVscbceKcPxwvv","The Ocean","Mike Perry, SHY Martin","The Ocean","1","1","183414","spotify:user:1177356009","2016-06-11T07:24:02Z"
"spotify:track:65n4DkUhKUO4tECIabKwy1","Hurricane - Arty Remix","Halsey, ARTY","Room 93: The Remixes","1","1","224520","spotify:user:1177356009","2016-06-26T15:18:52Z"
"spotify:track:5x9uAWpQ0qj8V61xckw6TV","Cold Water (feat. Justin Bieber & MØ)","Major Lazer, Justin Bieber, MØ","Cold Water (feat. Justin Bieber & MØ)","1","1","185351","spotify:user:1177356009","2016-07-23T15:55:44Z"
"spotify:track:4pdPtRcBmOSQDlJ3Fk945m","Let Me Love You","DJ Snake, Justin Bieber","Encore","1","13","205946","spotify:user:1177356009","2016-08-05T15:56:53Z"
"spotify:track:23L5CiUhw2jV1OIMwthR3S","In the Name of Love","Martin Garrix, Bebe Rexha","In the Name of Love","1","1","195706","spotify:user:1177356009","2016-08-05T15:59:33Z"
"spotify:track:15BlympuVSfZFROojEMY2M","Don't Let Me Down - Illenium Remix","The Chainsmokers, Daya, Illenium","Don't Let Me Down (Remixes)","1","2","218933","spotify:user:1177356009","2016-09-29T15:12:54Z"
"spotify:track:65Qe0x9oCbs9pNJc6QBFx7","All We Know","The Chainsmokers, Phoebe Ryan","Collage EP","1","2","194080","spotify:user:1177356009","2016-11-04T06:53:55Z"
"spotify:track:7crMiinWx373rNBZBaVske","Closer","The Chainsmokers, Halsey","Collage EP","1","3","245506","spotify:user:1177356009","2016-11-04T06:53:55Z"
"spotify:track:4GdYM1hIvRfK8keBF2eQ1a","Inside Out","The Chainsmokers, Charlee","Collage EP","1","4","233573","spotify:user:1177356009","2016-11-04T06:53:55Z"
"spotify:track:0jKoYTjf7GdCjQBF2fXoxb","Dandelion","Sad Eye","Dandelion","1","1","174410","spotify:user:1177356009","2016-12-04T14:16:36Z"
"spotify:track:3EmmCZoqpWOTY1g2GBwJoR","Just Hold On","Steve Aoki, Louis Tomlinson","Just Hold On","1","1","198774","spotify:user:1177356009","2016-12-16T07:19:19Z"
"spotify:track:12mGwph2YzDIlChtq3EdXP","Alone","Marshmello","Alone","1","1","273802","spotify:user:1177356009","2016-12-17T12:57:09Z"
"spotify:track:6HViP4DVYa8gQtxLndmhwu","Aloha","Møme, Merryn Jeann","Panorama","1","8","218480","spotify:user:1177356009","2017-02-04T09:57:49Z"
"spotify:track:3ebXMykcMXOcLeJ9xZ17XH","Scared to Be Lonely","Martin Garrix, Dua Lipa","Scared to Be Lonely","1","1","220883","spotify:user:1177356009","2017-02-04T15:04:00Z"
"spotify:track:3eR23VReFzcdmS7TYCrhCe","It Ain't Me (with Selena Gomez)","Kygo, Selena Gomez","It Ain't Me (with Selena Gomez)","1","1","220780","spotify:user:1177356009","2017-02-17T16:31:59Z"
"spotify:track:6jq6rcOikCZAmjliAgAmfT","Light","San Holo","Light","1","1","239853","spotify:user:1177356009","2017-02-17T16:34:19Z"
"spotify:track:6H0zRPEV1ezBHOidNXSt1D","Fractures (feat. Nevve)","Illenium, Nevve","Fractures (feat. Nevve)","1","1","245250","spotify:user:1177356009","2017-02-17T16:37:01Z"
"spotify:track:7mbbGuqfaIIFHImIwu45Xi","Let Me Love You - R3hab Remix","DJ Snake, Justin Bieber, R3HAB","Let Me Love You (R3hab Remix)","1","1","175000","spotify:user:1177356009","2017-02-17T16:37:19Z"
"spotify:track:6lcSHIwCOopIcW5cT5NXHI","Feel Good","Gryffin, Illenium, Daya","Feel Good","1","1","248156","spotify:user:1177356009","2017-03-05T10:53:23Z"
"spotify:track:6uBhi9gBXWjanegOb2Phh0","Stay (with Alessia Cara)","Zedd, Alessia Cara","Stay","1","1","210090","spotify:user:1177356009","2017-03-11T06:18:05Z"
"spotify:track:6ULNtDItJ3KUniAOt7iuxv","Let Me Love You - Tiësto's AFTR:HRS Mix","DJ Snake, Tiësto, Justin Bieber","Let Me Love You (Tiësto's AFTR:HRS Mix)","1","1","155840","spotify:user:1177356009","2017-03-13T12:57:17Z"
"spotify:track:1qcyw35R6PiMBYfSSK7gDm","Say It (feat. Tove Lo) [Illenium Remix]","Flume, Tove Lo, Illenium","Say It (feat. Tove Lo) [Illenium Remix]","1","1","267200","spotify:user:1177356009","2017-03-15T14:54:48Z"
"spotify:track:1louJpMmzEicAn7lzDalPW","No Promises (feat. Demi Lovato)","Cheat Codes, Demi Lovato","No Promises (feat. Demi Lovato)","1","1","223503","spotify:user:1177356009","2017-04-06T12:43:12Z"
"spotify:track:26AuyrZGzWWiYZPSd3XBIg","Bloodstream","The Chainsmokers","Memories...Do Not Open","1","3","224280","spotify:user:1177356009","2017-04-08T13:19:55Z"
"spotify:track:6RUKPb4LETWmmr3iAEQktW","Something Just Like This","The Chainsmokers, Coldplay","Memories...Do Not Open","1","5","247160","spotify:user:1177356009","2017-04-08T13:20:13Z"
"spotify:track:72jbDTw1piOOj770jWNeaG","Paris","The Chainsmokers","Memories...Do Not Open","1","8","221506","spotify:user:1177356009","2017-04-08T13:20:18Z"
